,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.0027015999949071556,2899.2202572798915,200.0,200,0.3,8192
1,1,0.02114239998627454,10677.037120751598,402.0,200,0.3,8192
2,2,0.04022429999895394,10677.037120751598,603.0,200,0.3,8192
3,3,0.05955949999042787,10677.037120751598,804.0,200,0.3,8192
4,4,0.07604600000195205,11242.242091748316,1006.0,200,0.3,8192
5,5,0.09517260000575334,11242.242091748316,1207.0,200,0.3,8192
6,6,0.11190099999657832,12473.105826323514,1409.0,200,0.3,8192
7,7,0.12873759999638423,12764.748175271643,1611.0,200,0.3,8192
8,8,0.14594600000418723,12764.748175271643,1812.0,200,0.3,8192
9,9,0.16506430000299588,12764.748175271643,2013.0,200,0.3,8192
10,10,0.18161900000995956,12764.748175271643,2214.0,200,0.3,8192
11,11,0.19838139999774285,13612.059013528284,2416.0,200,0.3,8192
12,12,0.21555540000554174,13612.059013528284,2617.0,200,0.3,8192
13,13,0.23202940000919625,13612.059013528284,2818.0,200,0.3,8192
14,14,0.24854030000278726,14254.119270821197,3020.0,200,0.3,8192
15,15,0.26476749998982996,14290.233049682176,3222.0,200,0.3,8192
16,16,0.28171609999844804,14371.408909183172,3424.0,200,0.3,8192
17,17,0.3007787000096869,14371.408909183172,3625.0,200,0.3,8192
18,18,0.3184627000009641,15011.621094750773,3827.0,200,0.3,8192
19,19,0.33536179998191074,15011.621094750773,4028.0,200,0.3,8192
20,20,0.3516904999851249,15011.621094750773,4229.0,200,0.3,8192
21,21,0.36808129999553785,15011.621094750773,4430.0,200,0.3,8192
22,22,0.3847914999932982,15435.216233452196,4632.0,200,0.3,8192
23,23,0.4019857000093907,15435.216233452196,4833.0,200,0.3,8192
24,24,0.4188992999843322,15453.557859915825,5035.0,200,0.3,8192
25,25,0.43537550000473857,17310.782306821126,5237.0,200,0.3,8192
26,26,0.4517792999977246,17310.782306821126,5438.0,200,0.3,8192
27,27,0.468433100002585,17310.782306821126,5639.0,200,0.3,8192
28,28,0.4851739000005182,17310.782306821126,5840.0,200,0.3,8192
29,29,0.5024764999980107,17310.782306821126,6041.0,200,0.3,8192
30,30,0.5197978999931365,17310.782306821126,6242.0,200,0.3,8192
31,31,0.5366038999927696,17310.782306821126,6443.0,200,0.3,8192
32,32,0.5536848999909125,18131.728505152947,6645.0,200,0.3,8192
33,33,0.5735155000002123,18131.728505152947,6846.0,200,0.3,8192
34,34,0.5904406000045128,18156.510626097537,7048.0,200,0.3,8192
35,35,0.6109519999881741,18156.510626097537,7249.0,200,0.3,8192
36,36,0.6281139999919105,18270.089851054385,7451.0,200,0.3,8192
37,37,0.6448061999981292,18310.29829565747,7653.0,200,0.3,8192
38,38,0.6617870999907609,18310.29829565747,7854.0,200,0.3,8192
39,39,0.6797839000064414,18310.29829565747,8055.0,200,0.3,8192
40,40,0.6973975999862887,18977.45682442936,8257.0,200,0.3,8192
41,41,0.7164222999999765,19970.885895949203,8459.0,200,0.3,8192
42,42,0.7340043000003789,19970.885895949203,8660.0,200,0.3,8192
43,43,0.7502821999951266,19970.885895949203,8861.0,200,0.3,8192
44,44,0.7666263999999501,19970.885895949203,9062.0,200,0.3,8192
45,45,0.7838236000097822,19970.885895949203,9263.0,200,0.3,8192
46,46,0.8017622999905143,19970.885895949203,9464.0,200,0.3,8192
47,47,0.8195829000032973,19970.885895949203,9665.0,200,0.3,8192
48,48,0.8369915999937803,19970.885895949203,9866.0,200,0.3,8192
49,49,0.8541805999993812,19970.885895949203,10067.0,200,0.3,8192
50,50,0.8720245999866165,19970.885895949203,10268.0,200,0.3,8192
51,51,0.8896225999924354,20177.269088456593,10470.0,200,0.3,8192
52,52,0.9063470999826677,20177.269088456593,10671.0,200,0.3,8192
53,53,0.9227551000076346,20177.269088456593,10872.0,200,0.3,8192
54,54,0.9400524999946356,20177.269088456593,11073.0,200,0.3,8192
55,55,0.9568642000085674,20652.73377542024,11275.0,200,0.3,8192
56,56,0.9750130999891553,21170.698159976437,11477.0,200,0.3,8192
57,57,0.9917840999842156,21170.698159976437,11678.0,200,0.3,8192
58,58,1.009398099995451,21170.698159976437,11879.0,200,0.3,8192
59,59,1.026309399981983,21177.07451066319,12081.0,200,0.3,8192
60,60,1.0436769000079948,21177.07451066319,12282.0,200,0.3,8192
61,61,1.060815700009698,21177.07451066319,12483.0,200,0.3,8192
62,62,1.0773024999944028,21177.07451066319,12684.0,200,0.3,8192
63,63,1.0967958999972325,21177.07451066319,12885.0,200,0.3,8192
64,64,1.1159616000077222,21177.07451066319,13086.0,200,0.3,8192
65,65,1.1357439999992494,21976.495620387686,13288.0,200,0.3,8192
66,66,1.1529001999879256,21976.495620387686,13489.0,200,0.3,8192
67,67,1.1693971999920905,22534.32968295678,13691.0,200,0.3,8192
68,68,1.1859027000027709,22534.32968295678,13892.0,200,0.3,8192
69,69,1.203065699985018,22534.32968295678,14093.0,200,0.3,8192
70,70,1.2196953000093345,22534.32968295678,14294.0,200,0.3,8192
71,71,1.23619769999641,22715.962594723143,14496.0,200,0.3,8192
72,72,1.2525606999988668,22970.45511819887,14698.0,200,0.3,8192
73,73,1.269064399995841,22970.45511819887,14899.0,200,0.3,8192
74,74,1.2857856999908108,24333.556214887878,15101.0,200,0.3,8192
75,75,1.3023073000076693,24333.556214887878,15302.0,200,0.3,8192
76,76,1.3193958000047132,24333.556214887878,15503.0,200,0.3,8192
77,77,1.3365737999847624,24333.556214887878,15704.0,200,0.3,8192
78,78,1.3531616999825928,24333.556214887878,15905.0,200,0.3,8192
79,79,1.370556999987457,24333.556214887878,16106.0,200,0.3,8192
80,80,1.3878512000082992,24334.554089706748,16308.0,200,0.3,8192
81,81,1.4048685999878217,24339.97368647633,16510.0,200,0.3,8192
82,82,1.4221373999898788,24339.97368647633,16711.0,200,0.3,8192
83,83,1.4393249999848194,24652.388986767262,16913.0,200,0.3,8192
84,84,1.4565485999919474,24652.388986767262,17114.0,200,0.3,8192
85,85,1.4734987999836449,24652.388986767262,17315.0,200,0.3,8192
86,86,1.4900446999818087,24652.388986767262,17516.0,200,0.3,8192
87,87,1.5071707000024617,24652.388986767262,17717.0,200,0.3,8192
88,88,1.5242558000027202,24652.388986767262,17918.0,200,0.3,8192
89,89,1.5415230999933556,25021.821565947368,18120.0,200,0.3,8192
90,90,1.5589782999886665,25021.821565947368,18321.0,200,0.3,8192
91,91,1.5781526000064332,25021.821565947368,18522.0,200,0.3,8192
92,92,1.5964574000099674,25021.821565947368,18723.0,200,0.3,8192
93,93,1.6147440999920946,25021.821565947368,18924.0,200,0.3,8192
94,94,1.6335404999845196,25390.509219437983,19126.0,200,0.3,8192
95,95,1.6516471999930218,25390.509219437983,19327.0,200,0.3,8192
96,96,1.669636200007517,25390.509219437983,19528.0,200,0.3,8192
97,97,1.687272799987113,25390.509219437983,19729.0,200,0.3,8192
98,98,1.7042849999852479,25390.509219437983,19930.0,200,0.3,8192
99,99,1.7217367999837734,25390.509219437983,20131.0,200,0.3,8192
100,100,1.7383280000067316,25390.509219437983,20332.0,200,0.3,8192
101,101,1.7546858999994583,25390.509219437983,20533.0,200,0.3,8192
102,102,1.7712671000044793,25390.509219437983,20734.0,200,0.3,8192
103,103,1.7877631000010297,25454.672018240137,20936.0,200,0.3,8192
104,104,1.804839099990204,25454.672018240137,21137.0,200,0.3,8192
105,105,1.823022900003707,25454.672018240137,21338.0,200,0.3,8192
106,106,1.8403702999930829,25454.672018240137,21539.0,200,0.3,8192
