,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,2899.2202572798915,200,0.0027015999949071556,"[20, 38, 23, 33, 6, 25, 47, 42, 12, 30, 13, 28, 34, 32, 18, 39, 8, 27, 2, 29, 26, 36, 16, 49, 0, 21, 11, 15, 43, 14, 41, 4, 37, 46, 10, 9, 19, 40, 31, 44, 1, 45, 7, 35, 17, 5, 3, 24, 48, 22]",200,0.3,8192
1,1,10677.037120751598,402,0.02114239998627454,"[41, 24, 7, 37, 8, 27, 29, 20, 31, 0, 3, 2, 42, 33, 30, 9, 25, 36, 15, 1, 44, 4, 46, 32, 17, 26, 28, 16, 45, 49, 39, 10, 40, 23, 18, 11, 13, 22, 19, 35, 5, 12, 48, 47, 21, 6, 38, 14, 34, 43]",200,0.3,8192
2,2,10677.037120751598,603,0.04022429999895394,"[41, 24, 7, 37, 8, 27, 29, 20, 31, 0, 3, 2, 42, 33, 30, 9, 25, 36, 15, 1, 44, 4, 46, 32, 17, 26, 28, 16, 45, 49, 39, 10, 40, 23, 18, 11, 13, 22, 19, 35, 5, 12, 48, 47, 21, 6, 38, 14, 34, 43]",200,0.3,8192
3,4,11242.242091748316,1006,0.07604600000195205,"[8, 25, 21, 34, 35, 10, 45, 5, 12, 47, 9, 17, 28, 1, 37, 48, 43, 3, 18, 19, 23, 49, 41, 26, 27, 42, 7, 11, 2, 40, 33, 0, 6, 14, 38, 29, 22, 16, 30, 44, 36, 13, 15, 39, 20, 46, 24, 32, 31, 4]",200,0.3,8192
4,8,12764.748175271643,1812,0.14594600000418723,"[41, 24, 7, 37, 8, 32, 29, 20, 31, 0, 3, 6, 42, 33, 35, 22, 43, 38, 36, 18, 30, 28, 45, 10, 21, 48, 15, 27, 17, 44, 5, 2, 9, 25, 1, 4, 46, 26, 16, 49, 39, 40, 23, 11, 14, 13, 19, 47, 12, 34]",200,0.3,8192
5,16,14371.408909183172,3424,0.28171609999844804,"[41, 24, 7, 37, 8, 32, 29, 20, 31, 0, 3, 25, 21, 34, 35, 10, 45, 5, 12, 47, 9, 17, 28, 27, 22, 2, 44, 42, 16, 6, 36, 46, 14, 26, 48, 4, 18, 43, 49, 11, 33, 30, 38, 15, 1, 39, 40, 19, 23, 13]",200,0.3,8192
6,32,18131.728505152947,6645,0.5536848999909125,"[41, 24, 26, 7, 37, 8, 16, 29, 20, 31, 0, 3, 11, 21, 33, 25, 34, 35, 10, 45, 32, 27, 5, 42, 30, 9, 6, 49, 12, 47, 36, 22, 43, 14, 19, 44, 2, 17, 28, 40, 13, 38, 18, 4, 1, 15, 46, 48, 39, 23]",200,0.3,8192
7,64,21177.07451066319,13086,1.1159616000077222,"[41, 24, 26, 7, 37, 45, 8, 16, 29, 20, 31, 4, 0, 3, 14, 21, 33, 25, 34, 35, 10, 27, 17, 44, 46, 5, 42, 30, 9, 6, 49, 22, 43, 28, 47, 32, 19, 23, 11, 39, 12, 18, 36, 2, 38, 1, 40, 15, 48, 13]",200,0.3,8192
8,128,26073.441695098474,25963,2.220219399983762,"[41, 24, 26, 7, 10, 37, 45, 12, 16, 13, 31, 20, 4, 0, 35, 3, 14, 15, 21, 33, 25, 6, 8, 27, 17, 39, 28, 44, 32, 48, 29, 2, 5, 34, 36, 30, 42, 43, 46, 18, 49, 23, 40, 11, 1, 9, 22, 19, 38, 47]",200,0.3,8192
9,256,30131.136784560535,51713,4.471217299986165,"[41, 24, 26, 5, 10, 37, 45, 12, 1, 7, 13, 31, 20, 4, 47, 0, 35, 11, 3, 49, 15, 14, 21, 33, 25, 2, 6, 8, 23, 27, 42, 9, 43, 29, 17, 39, 38, 22, 44, 30, 32, 28, 48, 46, 36, 16, 34, 40, 19, 18]",200,0.3,8192
