,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0024551000096835196,2853.470661437686,200.0,True,200,0.2,8192
1,1,0.8370442000159528,11255.55267485508,402.0,True,200,0.2,8192
2,2,1.7352465000003576,11255.55267485508,603.0,True,200,0.2,8192
3,3,2.651599400007399,11255.55267485508,804.0,True,200,0.2,8192
4,4,3.5796484999882523,11255.55267485508,1005.0,True,200,0.2,8192
5,5,4.5628894999972545,11255.55267485508,1206.0,True,200,0.2,8192
6,6,6.1577783999964595,11255.55267485508,1407.0,True,200,0.2,8192
7,7,7.771743399993284,11255.55267485508,1608.0,True,200,0.2,8192
8,8,9.33995729999151,11255.55267485508,1809.0,True,200,0.2,8192
9,9,10.912619400012773,11255.55267485508,2010.0,True,200,0.2,8192
10,10,12.49251589999767,11255.55267485508,2211.0,True,200,0.2,8192
11,11,14.045530800009146,11255.55267485508,2412.0,True,200,0.2,8192
12,12,15.639173200004734,11255.55267485508,2613.0,True,200,0.2,8192
13,13,17.21479420000105,11255.55267485508,2814.0,True,200,0.2,8192
14,14,18.75805269999546,11255.55267485508,3015.0,True,200,0.2,8192
15,15,20.320567799994024,11255.55267485508,3216.0,True,200,0.2,8192
16,16,21.89035870000953,11255.55267485508,3417.0,True,200,0.2,8192
17,17,23.451793100015493,11255.55267485508,3618.0,True,200,0.2,8192
18,18,25.0118669999938,11255.55267485508,3819.0,True,200,0.2,8192
19,19,26.55890120001277,11255.55267485508,4020.0,True,200,0.2,8192
20,20,28.109460600011516,11255.55267485508,4221.0,True,200,0.2,8192
21,21,29.665590599994175,11255.55267485508,4422.0,True,200,0.2,8192
22,22,31.21567830001004,11255.55267485508,4623.0,True,200,0.2,8192
23,23,32.76345639998908,11255.55267485508,4824.0,True,200,0.2,8192
24,24,34.33267440000782,11255.55267485508,5025.0,True,200,0.2,8192
25,25,35.93646389999776,11255.55267485508,5226.0,True,200,0.2,8192
26,26,37.48444450000534,11255.55267485508,5427.0,True,200,0.2,8192
27,27,39.04872880000039,11255.55267485508,5628.0,True,200,0.2,8192
28,28,40.591116800002055,11255.55267485508,5829.0,True,200,0.2,8192
29,29,42.16576730000088,11255.55267485508,6030.0,True,200,0.2,8192
30,30,43.73573610000312,11255.55267485508,6231.0,True,200,0.2,8192
31,31,45.30053710000357,11255.55267485508,6432.0,True,200,0.2,8192
32,32,46.864730600005714,11255.55267485508,6633.0,True,200,0.2,8192
33,33,48.45185469998978,11255.55267485508,6834.0,True,200,0.2,8192
34,34,50.07713119999971,11255.55267485508,7035.0,True,200,0.2,8192
35,35,51.64365430001635,11255.55267485508,7236.0,True,200,0.2,8192
36,36,53.246135699999286,11255.55267485508,7437.0,True,200,0.2,8192
37,37,54.81096500001149,11255.55267485508,7638.0,True,200,0.2,8192
38,38,56.36685759999091,11255.55267485508,7839.0,True,200,0.2,8192
39,39,57.91912100001355,11255.55267485508,8040.0,True,200,0.2,8192
40,40,59.47710059999372,11255.55267485508,8241.0,True,200,0.2,8192
41,41,61.034376900002826,11255.55267485508,8442.0,True,200,0.2,8192
42,42,62.593606500013266,11255.55267485508,8643.0,True,200,0.2,8192
