,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,2853.470661437686,200,0.0024551000096835196,"[34, 29, 48, 20, 22, 31, 8, 9, 15, 14, 30, 32, 12, 41, 43, 26, 21, 0, 49, 11, 19, 1, 10, 44, 13, 38, 46, 6, 18, 4, 39, 5, 33, 42, 40, 45, 23, 25, 36, 24, 47, 2, 17, 28, 37, 7, 16, 3, 35, 27]",True,200,0.2,8192
1,1,11255.55267485508,402,0.8370442000159528,"[7, 24, 20, 13, 5, 47, 3, 21, 6, 44, 42, 26, 22, 18, 28, 43, 40, 17, 29, 36, 37, 23, 32, 16, 39, 8, 12, 49, 45, 33, 0, 46, 35, 15, 48, 27, 19, 31, 10, 9, 38, 41, 1, 4, 14, 30, 25, 11, 2, 34]",True,200,0.2,8192
2,2,11255.55267485508,603,1.7352465000003576,"[7, 24, 20, 13, 5, 47, 3, 21, 6, 44, 42, 26, 22, 18, 28, 43, 40, 17, 29, 36, 37, 23, 32, 16, 39, 8, 12, 49, 45, 33, 0, 46, 35, 15, 48, 27, 19, 31, 10, 9, 38, 41, 1, 4, 14, 30, 25, 11, 2, 34]",True,200,0.2,8192
3,4,11255.55267485508,1005,3.5796484999882523,"[7, 24, 20, 13, 5, 47, 3, 21, 6, 44, 42, 26, 22, 18, 28, 43, 40, 17, 29, 36, 37, 23, 32, 16, 39, 8, 12, 49, 45, 33, 0, 46, 35, 15, 48, 27, 19, 31, 10, 9, 38, 41, 1, 4, 14, 30, 25, 11, 2, 34]",True,200,0.2,8192
4,8,11255.55267485508,1809,9.33995729999151,"[7, 24, 20, 13, 5, 47, 3, 21, 6, 44, 42, 26, 22, 18, 28, 43, 40, 17, 29, 36, 37, 23, 32, 16, 39, 8, 12, 49, 45, 33, 0, 46, 35, 15, 48, 27, 19, 31, 10, 9, 38, 41, 1, 4, 14, 30, 25, 11, 2, 34]",True,200,0.2,8192
5,16,11255.55267485508,3417,21.89035870000953,"[7, 24, 20, 13, 5, 47, 3, 21, 6, 44, 42, 26, 22, 18, 28, 43, 40, 17, 29, 36, 37, 23, 32, 16, 39, 8, 12, 49, 45, 33, 0, 46, 35, 15, 48, 27, 19, 31, 10, 9, 38, 41, 1, 4, 14, 30, 25, 11, 2, 34]",True,200,0.2,8192
6,32,11255.55267485508,6633,46.864730600005714,"[7, 24, 20, 13, 5, 47, 3, 21, 6, 44, 42, 26, 22, 18, 28, 43, 40, 17, 29, 36, 37, 23, 32, 16, 39, 8, 12, 49, 45, 33, 0, 46, 35, 15, 48, 27, 19, 31, 10, 9, 38, 41, 1, 4, 14, 30, 25, 11, 2, 34]",True,200,0.2,8192
7,64,11255.55267485508,13065,96.87563900000532,"[7, 24, 20, 13, 5, 47, 3, 21, 6, 44, 42, 26, 22, 18, 28, 43, 40, 17, 29, 36, 37, 23, 32, 16, 39, 8, 12, 49, 45, 33, 0, 46, 35, 15, 48, 27, 19, 31, 10, 9, 38, 41, 1, 4, 14, 30, 25, 11, 2, 34]",True,200,0.2,8192
8,128,11255.55267485508,25929,195.97528549999697,"[7, 24, 20, 13, 5, 47, 3, 21, 6, 44, 42, 26, 22, 18, 28, 43, 40, 17, 29, 36, 37, 23, 32, 16, 39, 8, 12, 49, 45, 33, 0, 46, 35, 15, 48, 27, 19, 31, 10, 9, 38, 41, 1, 4, 14, 30, 25, 11, 2, 34]",True,200,0.2,8192
9,256,11255.55267485508,51657,400.59294940001564,"[7, 24, 20, 13, 5, 47, 3, 21, 6, 44, 42, 26, 22, 18, 28, 43, 40, 17, 29, 36, 37, 23, 32, 16, 39, 8, 12, 49, 45, 33, 0, 46, 35, 15, 48, 27, 19, 31, 10, 9, 38, 41, 1, 4, 14, 30, 25, 11, 2, 34]",True,200,0.2,8192
10,512,11255.55267485508,100902,826.0203978999925,"[7, 24, 20, 13, 5, 47, 3, 21, 6, 44, 42, 26, 22, 18, 28, 43, 40, 17, 29, 36, 37, 23, 32, 16, 39, 8, 12, 49, 45, 33, 0, 46, 35, 15, 48, 27, 19, 31, 10, 9, 38, 41, 1, 4, 14, 30, 25, 11, 2, 34]",True,200,0.2,8192
11,1024,11255.55267485508,100902,826.0203978999925,"[7, 24, 20, 13, 5, 47, 3, 21, 6, 44, 42, 26, 22, 18, 28, 43, 40, 17, 29, 36, 37, 23, 32, 16, 39, 8, 12, 49, 45, 33, 0, 46, 35, 15, 48, 27, 19, 31, 10, 9, 38, 41, 1, 4, 14, 30, 25, 11, 2, 34]",True,200,0.2,8192
12,2048,11255.55267485508,100902,826.0203978999925,"[7, 24, 20, 13, 5, 47, 3, 21, 6, 44, 42, 26, 22, 18, 28, 43, 40, 17, 29, 36, 37, 23, 32, 16, 39, 8, 12, 49, 45, 33, 0, 46, 35, 15, 48, 27, 19, 31, 10, 9, 38, 41, 1, 4, 14, 30, 25, 11, 2, 34]",True,200,0.2,8192
13,4096,11255.55267485508,100902,826.0203978999925,"[7, 24, 20, 13, 5, 47, 3, 21, 6, 44, 42, 26, 22, 18, 28, 43, 40, 17, 29, 36, 37, 23, 32, 16, 39, 8, 12, 49, 45, 33, 0, 46, 35, 15, 48, 27, 19, 31, 10, 9, 38, 41, 1, 4, 14, 30, 25, 11, 2, 34]",True,200,0.2,8192
14,8192,11255.55267485508,100902,826.0203978999925,"[7, 24, 20, 13, 5, 47, 3, 21, 6, 44, 42, 26, 22, 18, 28, 43, 40, 17, 29, 36, 37, 23, 32, 16, 39, 8, 12, 49, 45, 33, 0, 46, 35, 15, 48, 27, 19, 31, 10, 9, 38, 41, 1, 4, 14, 30, 25, 11, 2, 34]",True,200,0.2,8192
