,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,6731.577777899896,0,9.190000128000975e-05,"[10, 36, 26, 1, 4, 2, 43, 46, 19, 24, 42, 30, 27, 9, 40, 39, 7, 47, 11, 23, 6, 5, 8, 20, 0, 14, 17, 44, 34, 49, 18, 37, 41, 29, 32, 48, 33, 16, 31, 12, 3, 38, 45, 13, 28, 35, 15, 25, 21, 22]",0,8192,0
1,1,6731.577777899896,1,0.5616923000197858,"[10, 36, 26, 1, 4, 2, 43, 46, 19, 24, 42, 30, 27, 9, 40, 39, 7, 47, 11, 23, 6, 5, 8, 20, 0, 14, 17, 44, 34, 49, 18, 37, 41, 29, 32, 48, 33, 16, 31, 12, 3, 38, 45, 13, 28, 35, 15, 25, 21, 22]",0,8192,0
2,2,6731.577777899896,2,0.563334800011944,"[10, 36, 26, 1, 4, 2, 43, 46, 19, 24, 42, 30, 27, 9, 40, 39, 7, 47, 11, 23, 6, 5, 8, 20, 0, 14, 17, 44, 34, 49, 18, 37, 41, 29, 32, 48, 33, 16, 31, 12, 3, 38, 45, 13, 28, 35, 15, 25, 21, 22]",0,8192,0
3,4,6731.577777899896,4,0.5649873000220396,"[10, 36, 26, 1, 4, 2, 43, 46, 19, 24, 42, 30, 27, 9, 40, 39, 7, 47, 11, 23, 6, 5, 8, 20, 0, 14, 17, 44, 34, 49, 18, 37, 41, 29, 32, 48, 33, 16, 31, 12, 3, 38, 45, 13, 28, 35, 15, 25, 21, 22]",0,8192,0
4,8,6736.812559694021,9,0.5666425000235904,"[10, 36, 26, 1, 4, 2, 43, 46, 25, 24, 42, 30, 27, 9, 40, 39, 7, 47, 11, 23, 6, 5, 8, 20, 0, 14, 17, 44, 34, 49, 18, 37, 41, 29, 32, 48, 33, 16, 31, 12, 3, 38, 45, 13, 28, 35, 15, 19, 21, 22]",0,8192,0
5,16,6736.812559694021,17,0.5684356999990996,"[10, 36, 26, 1, 4, 2, 43, 46, 25, 24, 42, 30, 27, 9, 40, 39, 7, 47, 11, 23, 6, 5, 8, 20, 0, 14, 17, 44, 34, 49, 18, 37, 41, 29, 32, 48, 33, 16, 31, 12, 3, 38, 45, 13, 28, 35, 15, 19, 21, 22]",0,8192,0
6,32,8977.420763328859,35,0.5705253000196535,"[10, 36, 26, 1, 4, 13, 7, 46, 25, 24, 42, 30, 27, 9, 40, 39, 43, 47, 11, 23, 6, 5, 8, 20, 0, 14, 17, 44, 34, 49, 18, 37, 41, 29, 32, 48, 33, 16, 31, 12, 3, 38, 45, 2, 28, 35, 15, 19, 21, 22]",0,8192,0
7,64,10171.081437826026,68,0.5731291999982204,"[10, 36, 26, 1, 4, 13, 7, 5, 25, 24, 42, 30, 27, 9, 40, 39, 43, 47, 11, 23, 6, 46, 8, 20, 0, 14, 17, 44, 34, 49, 18, 37, 41, 29, 32, 48, 33, 16, 31, 12, 3, 38, 45, 2, 28, 35, 15, 19, 21, 22]",0,8192,0
8,128,13751.03940003548,138,0.5781922000169288,"[47, 36, 24, 1, 4, 10, 7, 5, 44, 3, 42, 30, 27, 9, 40, 39, 43, 13, 25, 23, 6, 46, 8, 20, 0, 14, 17, 11, 34, 49, 18, 37, 41, 29, 32, 48, 33, 16, 31, 12, 26, 38, 45, 2, 28, 35, 15, 19, 21, 22]",0,8192,0
9,256,13813.689171761738,268,0.5863494000223,"[47, 37, 24, 1, 7, 10, 4, 5, 44, 3, 42, 30, 27, 9, 40, 39, 43, 13, 25, 23, 6, 46, 8, 20, 0, 14, 17, 11, 34, 49, 18, 36, 41, 29, 32, 48, 33, 16, 31, 12, 26, 38, 45, 2, 28, 35, 15, 19, 21, 22]",0,8192,0
10,512,15452.418721945345,533,0.6080142999999225,"[21, 3, 5, 1, 7, 10, 26, 24, 0, 44, 14, 15, 27, 9, 40, 39, 43, 13, 25, 23, 6, 46, 8, 20, 37, 42, 17, 11, 34, 49, 18, 36, 41, 29, 32, 48, 33, 16, 31, 12, 4, 38, 45, 2, 28, 47, 30, 19, 35, 22]",0,8192,0
11,1024,19123.44064937979,1053,0.6768752000061795,"[35, 3, 5, 10, 7, 1, 26, 24, 18, 19, 21, 15, 49, 30, 40, 39, 43, 13, 25, 23, 6, 46, 8, 20, 37, 42, 17, 9, 34, 27, 0, 36, 41, 29, 32, 48, 33, 16, 31, 12, 4, 38, 45, 2, 28, 47, 11, 44, 14, 22]",0,8192,0
12,2048,21095.017621698058,2089,0.920187600015197,"[35, 3, 4, 10, 7, 1, 26, 24, 18, 25, 34, 21, 15, 14, 11, 47, 43, 5, 19, 23, 6, 46, 8, 20, 37, 42, 17, 9, 49, 27, 0, 36, 41, 29, 32, 48, 33, 45, 31, 12, 16, 38, 13, 2, 40, 39, 28, 44, 30, 22]",0,8192,0
13,4096,22652.80852665716,4144,1.8193974000168964,"[35, 11, 4, 10, 7, 5, 1, 24, 18, 25, 34, 21, 15, 14, 3, 0, 28, 26, 19, 23, 6, 46, 8, 20, 37, 42, 17, 9, 49, 27, 47, 36, 41, 29, 32, 48, 33, 45, 31, 12, 16, 38, 13, 2, 40, 39, 43, 44, 30, 22]",0,8192,0
14,8192,22652.80852665716,4972,2.3419045000046026,"[35, 11, 4, 10, 7, 5, 1, 24, 18, 25, 34, 21, 15, 14, 3, 0, 28, 26, 19, 23, 6, 46, 8, 20, 37, 42, 17, 9, 49, 27, 47, 36, 41, 29, 32, 48, 33, 45, 31, 12, 16, 38, 13, 2, 40, 39, 43, 44, 30, 22]",0,8192,0
