,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,5.490001058205962e-05,3551.8449613987423,0.0,250,8192
1,1,0.0021380000107456,3551.8449613987423,2.0,250,8192
2,2,0.0039517999975942075,6210.9659283365345,4.0,250,8192
3,3,0.0056702000147197396,6210.9659283365345,6.0,250,8192
4,4,0.005724599992390722,6210.9659283365345,8.0,250,8192
5,5,0.007332600012887269,6210.9659283365345,10.0,250,8192
6,6,0.007383599993772805,6210.9659283365345,12.0,250,8192
7,7,0.007423200004268438,6210.9659283365345,14.0,250,8192
8,8,0.007449900003848597,6210.9659283365345,15.0,250,8192
9,9,0.009033100010128692,6210.9659283365345,17.0,250,8192
10,10,0.009084299992537126,6210.9659283365345,19.0,250,8192
11,11,0.00912530001369305,10013.955857554107,21.0,250,8192
12,12,0.009164399991277605,10013.955857554107,23.0,250,8192
13,13,0.009202999994158745,10013.955857554107,25.0,250,8192
14,14,0.009241699997801334,10013.955857554107,27.0,250,8192
15,15,0.009267899993574247,10013.955857554107,28.0,250,8192
16,16,0.00930589999188669,10013.955857554107,30.0,250,8192
17,17,0.011031600006390363,10013.955857554107,32.0,250,8192
18,18,0.011072599998442456,10013.955857554107,33.0,250,8192
19,19,0.011116999987279996,10013.955857554107,35.0,250,8192
20,20,0.011157400003867224,10013.955857554107,37.0,250,8192
21,21,0.011204400012502447,10013.955857554107,39.0,250,8192
22,22,0.011248900002101436,10013.955857554107,41.0,250,8192
23,23,0.011292600014712662,10013.955857554107,43.0,250,8192
24,24,0.011334000009810552,10013.955857554107,45.0,250,8192
25,25,0.011367900006007403,10013.955857554107,46.0,250,8192
26,26,0.011398500006180257,10013.955857554107,47.0,250,8192
27,27,0.011426300014136359,10013.955857554107,48.0,250,8192
28,28,0.011465599993243814,10013.955857554107,50.0,250,8192
29,29,0.011505200003739446,10014.955371619773,52.0,250,8192
30,30,0.011544100008904934,10014.955371619773,54.0,250,8192
31,31,0.01159350000671111,10014.955371619773,56.0,250,8192
32,32,0.011625999992247671,10014.955371619773,57.0,250,8192
33,33,0.013328000000910833,10035.932570431649,59.0,250,8192
34,34,0.01339370000641793,10035.932570431649,61.0,250,8192
35,35,0.013431600003968924,10035.932570431649,62.0,250,8192
36,36,0.01346340001327917,10035.932570431649,63.0,250,8192
37,37,0.013505000009899959,10035.932570431649,65.0,250,8192
38,38,0.013536699989344925,10035.932570431649,66.0,250,8192
39,39,0.013580800005001947,10035.932570431649,68.0,250,8192
40,40,0.013610299996798858,10035.932570431649,69.0,250,8192
41,41,0.013640199991641566,10035.932570431649,70.0,250,8192
42,42,0.013681300013558939,10035.932570431649,72.0,250,8192
43,43,0.013721600000280887,10390.765238674463,74.0,250,8192
44,44,0.013768200005870312,10390.765238674463,76.0,250,8192
45,45,0.013801900000544265,10390.765238674463,77.0,250,8192
46,46,0.013847399997757748,10390.765238674463,79.0,250,8192
47,47,0.013890500005800277,10390.765238674463,81.0,250,8192
48,48,0.013932500005466864,10390.765238674463,83.0,250,8192
49,49,0.013973499997518957,10850.89255764326,85.0,250,8192
50,50,0.014015699998708442,10850.89255764326,87.0,250,8192
51,51,0.01405749999685213,10850.89255764326,89.0,250,8192
52,52,0.014103900000918657,10850.89255764326,91.0,250,8192
53,53,0.014142200001515448,10850.89255764326,92.0,250,8192
54,54,0.01419079999323003,10850.89255764326,94.0,250,8192
55,55,0.014234600006602705,10850.89255764326,96.0,250,8192
56,56,0.014277600013883784,10850.89255764326,98.0,250,8192
57,57,0.014319600013550371,10850.89255764326,100.0,250,8192
58,58,0.014361999987158924,10850.89255764326,102.0,250,8192
59,59,0.014404000015929341,10850.89255764326,104.0,250,8192
60,60,0.014449100010097027,10850.89255764326,106.0,250,8192
61,61,0.014497099997242913,10850.89255764326,108.0,250,8192
62,62,0.014541100012138486,10850.89255764326,110.0,250,8192
63,63,0.014574200002243742,10850.89255764326,111.0,250,8192
64,64,0.014606899989303201,10850.89255764326,112.0,250,8192
65,65,0.016701799992006272,10850.89255764326,113.0,250,8192
66,66,0.01676410000072792,10850.89255764326,114.0,250,8192
