,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,3551.8449613987423,0,5.490001058205962e-05,"[12, 39, 22, 15, 36, 3, 19, 26, 21, 47, 9, 44, 7, 10, 27, 43, 28, 5, 24, 45, 29, 49, 14, 1, 34, 31, 48, 37, 4, 42, 30, 16, 25, 13, 2, 8, 35, 0, 23, 33, 41, 6, 38, 32, 20, 17, 11, 46, 40, 18]",exponential,250,0.005,0.001,249.99993137499618,250,8192
1,1,3551.8449613987423,2,0.0021380000107456,"[12, 39, 22, 15, 36, 3, 19, 26, 21, 47, 9, 44, 7, 10, 27, 43, 28, 5, 24, 45, 29, 49, 14, 1, 34, 31, 48, 37, 16, 42, 30, 4, 25, 13, 2, 8, 35, 0, 23, 33, 41, 6, 38, 32, 20, 17, 11, 46, 40, 18]",exponential,250,0.005,0.001,249.99732751427103,250,8192
2,2,6210.9659283365345,4,0.0039517999975942075,"[19, 39, 22, 15, 36, 3, 12, 26, 21, 47, 9, 44, 7, 10, 27, 43, 28, 5, 24, 45, 29, 49, 14, 1, 34, 31, 48, 37, 16, 42, 30, 4, 25, 13, 2, 8, 35, 0, 23, 33, 41, 6, 38, 32, 20, 17, 11, 46, 40, 18]",exponential,250,0.005,0.001,249.99506029880496,250,8192
3,4,6210.9659283365345,8,0.005724599992390722,"[19, 39, 22, 15, 36, 3, 12, 26, 21, 47, 9, 44, 7, 10, 27, 43, 28, 5, 24, 45, 29, 49, 14, 1, 34, 32, 48, 37, 16, 42, 30, 4, 25, 13, 2, 8, 35, 0, 23, 38, 41, 6, 33, 31, 20, 17, 11, 46, 40, 18]",exponential,250,0.005,0.001,249.99284435241805,250,8192
4,8,6210.9659283365345,15,0.007449900003848597,"[19, 39, 22, 15, 36, 3, 12, 26, 21, 33, 27, 44, 7, 10, 9, 43, 28, 5, 24, 45, 29, 49, 14, 1, 34, 32, 48, 37, 16, 42, 30, 4, 25, 13, 2, 8, 35, 17, 23, 38, 41, 6, 47, 31, 20, 0, 11, 46, 40, 18]",exponential,250,0.005,0.001,249.9906877984337,250,8192
5,16,10013.955857554107,30,0.00930589999188669,"[19, 39, 14, 15, 36, 3, 12, 26, 21, 33, 27, 44, 11, 16, 9, 43, 28, 5, 24, 31, 29, 38, 47, 42, 34, 32, 48, 37, 10, 1, 30, 4, 25, 13, 2, 8, 35, 17, 23, 49, 41, 6, 22, 45, 20, 0, 7, 46, 40, 18]",exponential,250,0.005,0.001,249.98836789563026,250,8192
6,32,10014.955371619773,57,0.011625999992247671,"[39, 19, 14, 15, 36, 3, 12, 26, 21, 33, 27, 44, 37, 16, 9, 42, 11, 5, 24, 31, 29, 38, 47, 43, 23, 32, 48, 28, 8, 1, 25, 18, 34, 13, 2, 10, 35, 45, 30, 49, 41, 6, 22, 0, 20, 17, 7, 46, 40, 4]",exponential,250,0.005,0.001,249.98546792238864,250,8192
7,64,10850.89255764326,112,0.014606899989303201,"[39, 19, 33, 47, 36, 3, 45, 26, 21, 14, 38, 1, 37, 41, 9, 13, 11, 5, 44, 34, 29, 42, 0, 8, 25, 32, 48, 23, 40, 15, 20, 2, 31, 22, 16, 10, 24, 12, 28, 18, 49, 6, 27, 35, 30, 17, 7, 46, 43, 4]",exponential,250,0.005,0.001,249.98174204175191,250,8192
8,128,10818.39242068637,216,0.019677500007674098,"[39, 32, 21, 15, 36, 3, 45, 26, 33, 14, 42, 43, 12, 2, 44, 13, 11, 47, 27, 34, 49, 40, 20, 8, 4, 46, 1, 37, 23, 9, 7, 29, 48, 22, 16, 24, 30, 19, 10, 5, 38, 6, 31, 41, 35, 28, 0, 17, 18, 25]",exponential,250,0.005,0.001,249.97540433496323,250,8192
9,256,11878.706896265528,428,0.02974150000954978,"[39, 32, 21, 15, 28, 3, 45, 16, 14, 33, 46, 48, 2, 42, 17, 19, 44, 10, 24, 40, 38, 25, 7, 22, 47, 12, 30, 37, 13, 49, 11, 20, 29, 31, 41, 27, 23, 34, 18, 6, 0, 35, 8, 9, 4, 1, 5, 26, 36, 43]",exponential,250,0.005,0.001,249.9628258890911,250,8192
