,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.0011096999805886298,2.0,200.0,200,0.3,4096
1,1,0.006764699995983392,12.0,402.0,200,0.3,4096
2,2,0.01219199999468401,13.0,604.0,200,0.3,4096
3,3,0.0175112999859266,13.0,805.0,200,0.3,4096
4,4,0.021750199986854568,14.0,1007.0,200,0.3,4096
5,5,0.02714429999468848,14.0,1208.0,200,0.3,4096
6,6,0.030967599974246696,14.0,1409.0,200,0.3,4096
7,7,0.0351121999847237,14.0,1610.0,200,0.3,4096
8,8,0.03872629997204058,14.0,1811.0,200,0.3,4096
9,9,0.04452809999929741,114.0,2013.0,200,0.3,4096
10,10,0.048348199983593076,114.0,2214.0,200,0.3,4096
11,11,0.052702799992403015,114.0,2415.0,200,0.3,4096
12,12,0.056931499973870814,117.0,2617.0,200,0.3,4096
13,13,0.060967099998379126,117.0,2818.0,200,0.3,4096
14,14,0.06482559998403303,117.0,3019.0,200,0.3,4096
15,15,0.06953819998307154,117.0,3220.0,200,0.3,4096
16,16,0.07440529999439605,117.0,3421.0,200,0.3,4096
17,17,0.08042919999570586,117.0,3622.0,200,0.3,4096
18,18,0.08527199999662116,117.0,3823.0,200,0.3,4096
19,19,0.08920709998346865,117.0,4024.0,200,0.3,4096
20,20,0.09311299998080358,119.0,4226.0,200,0.3,4096
21,21,0.09706089997780509,119.0,4427.0,200,0.3,4096
22,22,0.1012108999711927,119.0,4628.0,200,0.3,4096
23,23,0.10499109997181222,119.0,4829.0,200,0.3,4096
24,24,0.10881739997421391,119.0,5030.0,200,0.3,4096
25,25,0.11380309998639859,119.0,5231.0,200,0.3,4096
26,26,0.11769799998728558,120.0,5433.0,200,0.3,4096
27,27,0.12158739997539669,120.0,5634.0,200,0.3,4096
28,28,0.1260566999844741,120.0,5835.0,200,0.3,4096
29,29,0.13011819997336715,120.0,6036.0,200,0.3,4096
30,30,0.13414889998966828,121.0,6238.0,200,0.3,4096
31,31,0.1382873999828007,122.0,6440.0,200,0.3,4096
32,32,0.14304639998590574,122.0,6641.0,200,0.3,4096
33,33,0.1492394999950193,123.0,6843.0,200,0.3,4096
34,34,0.1536218999826815,124.0,7045.0,200,0.3,4096
35,35,0.15807309999945574,124.0,7246.0,200,0.3,4096
36,36,0.16214479997870512,124.0,7447.0,200,0.3,4096
37,37,0.1667691999755334,124.0,7648.0,200,0.3,4096
38,38,0.17088569997576997,124.0,7849.0,200,0.3,4096
39,39,0.1749862999713514,124.0,8050.0,200,0.3,4096
40,40,0.17958049997105263,124.0,8251.0,200,0.3,4096
41,41,0.18345969999791123,124.0,8452.0,200,0.3,4096
42,42,0.18743539997376502,124.0,8653.0,200,0.3,4096
43,43,0.19224789997679181,124.0,8854.0,200,0.3,4096
44,44,0.19617989999824204,124.0,9055.0,200,0.3,4096
45,45,0.200188499991782,124.0,9256.0,200,0.3,4096
46,46,0.2049558999715373,124.0,9457.0,200,0.3,4096
47,47,0.2090036999725271,124.0,9658.0,200,0.3,4096
48,48,0.21299489997909404,124.0,9859.0,200,0.3,4096
49,49,0.21696249998058192,124.0,10060.0,200,0.3,4096
50,50,0.22152349998941645,125.0,10262.0,200,0.3,4096
51,51,0.22551519999979064,125.0,10463.0,200,0.3,4096
52,52,0.22985749997314997,125.0,10664.0,200,0.3,4096
53,53,0.23446199999307282,125.0,10865.0,200,0.3,4096
54,54,0.2389672999852337,125.0,11066.0,200,0.3,4096
55,55,0.2431588999752421,125.0,11267.0,200,0.3,4096
56,56,0.24798379998537712,125.0,11468.0,200,0.3,4096
57,57,0.2524311999732163,125.0,11669.0,200,0.3,4096
58,58,0.2564278999925591,125.0,11870.0,200,0.3,4096
59,59,0.2610125999781303,125.0,12071.0,200,0.3,4096
60,60,0.26504659999045543,125.0,12272.0,200,0.3,4096
61,61,0.26915209999424405,125.0,12473.0,200,0.3,4096
62,62,0.2735648999805562,125.0,12674.0,200,0.3,4096
63,63,0.27904949997900985,125.0,12875.0,200,0.3,4096
64,64,0.2839149999781512,125.0,13076.0,200,0.3,4096
65,65,0.29060759997810237,125.0,13277.0,200,0.3,4096
66,66,0.2949524999712594,125.0,13478.0,200,0.3,4096
67,67,0.30201609997311607,125.0,13679.0,200,0.3,4096
68,68,0.3081600999867078,125.0,13880.0,200,0.3,4096
69,69,0.31455349997850135,125.0,14081.0,200,0.3,4096
70,70,0.3186925999762025,125.0,14282.0,200,0.3,4096
71,71,0.32316139998147264,126.0,14484.0,200,0.3,4096
72,72,0.3275949999806471,133.0,14686.0,200,0.3,4096
73,73,0.3317795999755617,133.0,14887.0,200,0.3,4096
74,74,0.33582719997502863,133.0,15088.0,200,0.3,4096
75,75,0.34007209999253973,134.0,15290.0,200,0.3,4096
76,76,0.3442254999827128,134.0,15491.0,200,0.3,4096
77,77,0.3483434999943711,134.0,15692.0,200,0.3,4096
78,78,0.3527931999997236,134.0,15893.0,200,0.3,4096
79,79,0.35714809998171404,134.0,16094.0,200,0.3,4096
80,80,0.36132769999676384,134.0,16295.0,200,0.3,4096
81,81,0.3657480999827385,134.0,16496.0,200,0.3,4096
82,82,0.3700125999748707,134.0,16697.0,200,0.3,4096
83,83,0.3742033999878913,134.0,16898.0,200,0.3,4096
84,84,0.378737099992577,136.0,17100.0,200,0.3,4096
85,85,0.38332789999549277,139.0,17302.0,200,0.3,4096
86,86,0.3873916999727953,139.0,17503.0,200,0.3,4096
87,87,0.39215109997894615,139.0,17704.0,200,0.3,4096
88,88,0.3962726999889128,143.0,17906.0,200,0.3,4096
89,89,0.4004671999718994,143.0,18107.0,200,0.3,4096
90,90,0.40503649998572655,143.0,18308.0,200,0.3,4096
91,91,0.4096715999767184,143.0,18509.0,200,0.3,4096
92,92,0.41382469999371096,143.0,18710.0,200,0.3,4096
93,93,0.41821319999871776,143.0,18911.0,200,0.3,4096
94,94,0.4234320999821648,143.0,19112.0,200,0.3,4096
95,95,0.42812269998830743,143.0,19313.0,200,0.3,4096
96,96,0.4329602999787312,143.0,19514.0,200,0.3,4096
97,97,0.4376613999775145,143.0,19715.0,200,0.3,4096
98,98,0.44210189997102134,143.0,19916.0,200,0.3,4096
99,99,0.44663299998501316,143.0,20117.0,200,0.3,4096
100,100,0.4509449999895878,145.0,20319.0,200,0.3,4096
101,101,0.45570299998507835,146.0,20521.0,200,0.3,4096
102,102,0.4603628999902867,146.0,20722.0,200,0.3,4096
103,103,0.4646753999986686,146.0,20923.0,200,0.3,4096
104,104,0.4691797999839764,146.0,21124.0,200,0.3,4096
105,105,0.4742796999926213,146.0,21325.0,200,0.3,4096
106,106,0.4787651999795344,147.0,21527.0,200,0.3,4096
107,107,0.48324019997380674,147.0,21728.0,200,0.3,4096
108,108,0.48810299998149276,147.0,21929.0,200,0.3,4096
