,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0010576000204309821,0.0,200.0,True,200,0.2,4096
1,1,0.017027499998221174,9.0,402.0,True,200,0.2,4096
2,2,0.036177200003294274,13.0,604.0,True,200,0.2,4096
3,3,0.05413810000754893,14.0,806.0,True,200,0.2,4096
4,4,0.0686221000214573,21.0,1008.0,True,200,0.2,4096
5,5,0.08587740000803024,21.0,1209.0,True,200,0.2,4096
6,6,0.1003752000106033,21.0,1410.0,True,200,0.2,4096
7,7,0.11856440000701696,23.0,1612.0,True,200,0.2,4096
8,8,0.13744900000165217,23.0,1813.0,True,200,0.2,4096
9,9,0.15590260000317357,23.0,2014.0,True,200,0.2,4096
10,10,0.16977390000829473,24.0,2216.0,True,200,0.2,4096
11,11,0.1882175000209827,24.0,2417.0,True,200,0.2,4096
12,12,0.20471010002074763,24.0,2618.0,True,200,0.2,4096
13,13,0.22390270000323653,25.0,2820.0,True,200,0.2,4096
14,14,0.24084150002454408,25.0,3021.0,True,200,0.2,4096
15,15,0.283920300018508,25.0,3222.0,True,200,0.2,4096
16,16,0.3264662000001408,25.0,3423.0,True,200,0.2,4096
17,17,0.37242820000392385,27.0,3625.0,True,200,0.2,4096
18,18,0.417165400023805,27.0,3826.0,True,200,0.2,4096
19,19,0.4607030000188388,27.0,4027.0,True,200,0.2,4096
20,20,0.5036724000237882,27.0,4228.0,True,200,0.2,4096
21,21,0.5448600000236183,27.0,4429.0,True,200,0.2,4096
22,22,0.5884288000233937,27.0,4630.0,True,200,0.2,4096
23,23,0.6319539000105578,27.0,4831.0,True,200,0.2,4096
24,24,0.6751570000196807,27.0,5032.0,True,200,0.2,4096
25,25,0.7161462000221945,27.0,5233.0,True,200,0.2,4096
26,26,0.757768000010401,27.0,5434.0,True,200,0.2,4096
27,27,0.8005441999994218,27.0,5635.0,True,200,0.2,4096
28,28,0.844339500006754,27.0,5836.0,True,200,0.2,4096
29,29,0.8875802000111435,27.0,6037.0,True,200,0.2,4096
30,30,0.931399599998258,27.0,6238.0,True,200,0.2,4096
31,31,0.9751150000083726,27.0,6439.0,True,200,0.2,4096
32,32,1.0173075000056997,27.0,6640.0,True,200,0.2,4096
33,33,1.0572479999973439,27.0,6841.0,True,200,0.2,4096
34,34,1.0965870000072755,27.0,7042.0,True,200,0.2,4096
35,35,1.1349432000133675,27.0,7243.0,True,200,0.2,4096
36,36,1.1755361999967135,27.0,7444.0,True,200,0.2,4096
37,37,1.2153097999980673,27.0,7645.0,True,200,0.2,4096
38,38,1.2552022000018042,27.0,7846.0,True,200,0.2,4096
39,39,1.2953961000021081,27.0,8047.0,True,200,0.2,4096
40,40,1.3355778999975882,27.0,8248.0,True,200,0.2,4096
41,41,1.3758957000100054,27.0,8449.0,True,200,0.2,4096
42,42,1.4163452000066172,27.0,8650.0,True,200,0.2,4096
43,43,1.4614603000227362,27.0,8851.0,True,200,0.2,4096
44,44,1.4996767000120599,27.0,9052.0,True,200,0.2,4096
45,45,1.5386996000015642,27.0,9253.0,True,200,0.2,4096
46,46,1.5785238000098616,27.0,9454.0,True,200,0.2,4096
47,47,1.6207385000016075,27.0,9655.0,True,200,0.2,4096
48,48,1.6614396000222769,27.0,9856.0,True,200,0.2,4096
49,49,1.7011841000057757,27.0,10057.0,True,200,0.2,4096
50,50,1.7413364000094589,27.0,10258.0,True,200,0.2,4096
51,51,1.7796350000135135,27.0,10459.0,True,200,0.2,4096
52,52,1.819921600021189,27.0,10660.0,True,200,0.2,4096
53,53,1.8611084000149276,27.0,10861.0,True,200,0.2,4096
54,54,1.9015557000238914,27.0,11062.0,True,200,0.2,4096
55,55,1.9415861000015866,27.0,11263.0,True,200,0.2,4096
56,56,1.9824001000088174,27.0,11464.0,True,200,0.2,4096
57,57,2.023744000005536,27.0,11665.0,True,200,0.2,4096
58,58,2.0665142000070773,27.0,11866.0,True,200,0.2,4096
59,59,2.109143800014863,27.0,12067.0,True,200,0.2,4096
60,60,2.1543366000114474,27.0,12268.0,True,200,0.2,4096
61,61,2.197464199998649,27.0,12469.0,True,200,0.2,4096
62,62,2.2420658000046387,27.0,12670.0,True,200,0.2,4096
63,63,2.2848378000198863,27.0,12871.0,True,200,0.2,4096
64,64,2.328445200022543,27.0,13072.0,True,200,0.2,4096
65,65,2.376200600003358,27.0,13273.0,True,200,0.2,4096
66,66,2.420491299999412,27.0,13474.0,True,200,0.2,4096
67,67,2.4631692999973893,27.0,13675.0,True,200,0.2,4096
68,68,2.5050723000022117,27.0,13876.0,True,200,0.2,4096
69,69,2.548176100011915,27.0,14077.0,True,200,0.2,4096
70,70,2.590004099998623,27.0,14278.0,True,200,0.2,4096
71,71,2.632402900024317,27.0,14479.0,True,200,0.2,4096
72,72,2.6755721000081394,27.0,14680.0,True,200,0.2,4096
73,73,2.717980500019621,27.0,14881.0,True,200,0.2,4096
74,74,2.7616408000176307,27.0,15082.0,True,200,0.2,4096
75,75,2.8039209000125993,27.0,15283.0,True,200,0.2,4096
76,76,2.846348200022476,27.0,15484.0,True,200,0.2,4096
77,77,2.8885267000005115,27.0,15685.0,True,200,0.2,4096
78,78,2.931329100014409,27.0,15886.0,True,200,0.2,4096
79,79,2.9741438000055496,27.0,16087.0,True,200,0.2,4096
80,80,3.0180543000169564,27.0,16288.0,True,200,0.2,4096
81,81,3.0572352000162937,27.0,16489.0,True,200,0.2,4096
82,82,3.0960665000020526,27.0,16690.0,True,200,0.2,4096
83,83,3.133946800022386,27.0,16891.0,True,200,0.2,4096
84,84,3.172772799996892,27.0,17092.0,True,200,0.2,4096
85,85,3.2128327000245918,27.0,17293.0,True,200,0.2,4096
86,86,3.2532672000234015,27.0,17494.0,True,200,0.2,4096
87,87,3.292551500024274,27.0,17695.0,True,200,0.2,4096
88,88,3.3320714000146836,27.0,17896.0,True,200,0.2,4096
89,89,3.3729778999986593,27.0,18097.0,True,200,0.2,4096
90,90,3.4138575000106357,27.0,18298.0,True,200,0.2,4096
91,91,3.457536200003233,27.0,18499.0,True,200,0.2,4096
92,92,3.4959519999974873,27.0,18700.0,True,200,0.2,4096
93,93,3.5338929000135977,27.0,18901.0,True,200,0.2,4096
94,94,3.571781100006774,27.0,19102.0,True,200,0.2,4096
95,95,3.6105813000176568,27.0,19303.0,True,200,0.2,4096
96,96,3.6477635000192095,27.0,19504.0,True,200,0.2,4096
97,97,3.687221200001659,27.0,19705.0,True,200,0.2,4096
98,98,3.725918800017098,27.0,19906.0,True,200,0.2,4096
99,99,3.7655863000254612,27.0,20107.0,True,200,0.2,4096
100,100,3.8057441000128165,27.0,20308.0,True,200,0.2,4096
101,101,3.8456875999982003,27.0,20509.0,True,200,0.2,4096
102,102,3.8837865000241436,27.0,20710.0,True,200,0.2,4096
103,103,3.9231500000169035,27.0,20911.0,True,200,0.2,4096
104,104,3.9622742000210565,27.0,21112.0,True,200,0.2,4096
105,105,4.003911200008588,27.0,21313.0,True,200,0.2,4096
106,106,4.04473710001912,27.0,21514.0,True,200,0.2,4096
107,107,4.083635900024092,27.0,21715.0,True,200,0.2,4096
108,108,4.122267600003397,27.0,21916.0,True,200,0.2,4096
109,109,4.160580299998401,27.0,22117.0,True,200,0.2,4096
110,110,4.200178500002949,27.0,22318.0,True,200,0.2,4096
111,111,4.239737800002331,27.0,22519.0,True,200,0.2,4096
112,112,4.279294700012542,27.0,22720.0,True,200,0.2,4096
113,113,4.318322700011777,27.0,22921.0,True,200,0.2,4096
114,114,4.358080400008475,27.0,23122.0,True,200,0.2,4096
115,115,4.3963207000051625,27.0,23323.0,True,200,0.2,4096
116,116,4.4354392000241205,27.0,23524.0,True,200,0.2,4096
117,117,4.478512200003024,27.0,23725.0,True,200,0.2,4096
118,118,4.517510500008939,27.0,23926.0,True,200,0.2,4096
119,119,4.5558468000090215,27.0,24127.0,True,200,0.2,4096
120,120,4.595064499997534,27.0,24328.0,True,200,0.2,4096
121,121,4.633979000005638,27.0,24529.0,True,200,0.2,4096
122,122,4.672051700006705,27.0,24730.0,True,200,0.2,4096
123,123,4.709837300004438,27.0,24931.0,True,200,0.2,4096
124,124,4.748893800016958,27.0,25132.0,True,200,0.2,4096
125,125,4.788933300005738,27.0,25333.0,True,200,0.2,4096
126,126,4.829481799999485,27.0,25534.0,True,200,0.2,4096
127,127,4.86964000001899,27.0,25735.0,True,200,0.2,4096
128,128,4.909561600012239,27.0,25936.0,True,200,0.2,4096
129,129,4.952548200002639,27.0,26137.0,True,200,0.2,4096
130,130,4.99224530000356,27.0,26338.0,True,200,0.2,4096
131,131,5.032829300005687,27.0,26539.0,True,200,0.2,4096
132,132,5.072835800005123,27.0,26740.0,True,200,0.2,4096
133,133,5.112324800022179,27.0,26941.0,True,200,0.2,4096
134,134,5.15190419999999,27.0,27142.0,True,200,0.2,4096
135,135,5.189983800024493,27.0,27343.0,True,200,0.2,4096
136,136,5.229497400025139,27.0,27544.0,True,200,0.2,4096
137,137,5.269378500001039,27.0,27745.0,True,200,0.2,4096
138,138,5.307877800019924,27.0,27946.0,True,200,0.2,4096
139,139,5.346916300011799,27.0,28147.0,True,200,0.2,4096
140,140,5.386357300012605,27.0,28348.0,True,200,0.2,4096
141,141,5.4288793000159785,27.0,28549.0,True,200,0.2,4096
142,142,5.4661755000124685,27.0,28750.0,True,200,0.2,4096
143,143,5.503435200022068,27.0,28951.0,True,200,0.2,4096
144,144,5.540125100000296,27.0,29152.0,True,200,0.2,4096
145,145,5.577801500010537,27.0,29353.0,True,200,0.2,4096
146,146,5.616655799996806,27.0,29554.0,True,200,0.2,4096
147,147,5.655973700020695,27.0,29755.0,True,200,0.2,4096
148,148,5.695189600024605,27.0,29956.0,True,200,0.2,4096
149,149,5.734149199997773,27.0,30157.0,True,200,0.2,4096
150,150,5.774132000020472,27.0,30358.0,True,200,0.2,4096
151,151,5.813463300000876,27.0,30559.0,True,200,0.2,4096
152,152,5.853969900024822,27.0,30760.0,True,200,0.2,4096
153,153,5.893435400008457,27.0,30961.0,True,200,0.2,4096
154,154,5.934159800002817,27.0,31162.0,True,200,0.2,4096
155,155,5.975408800004516,27.0,31363.0,True,200,0.2,4096
156,156,6.01538409999921,27.0,31564.0,True,200,0.2,4096
157,157,6.0544331000128295,27.0,31765.0,True,200,0.2,4096
158,158,6.09449330001371,27.0,31966.0,True,200,0.2,4096
