,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,5.199998850002885e-05,1.0,0.0,0,8388608,0
1,1,0.0021757999784313142,1.0,1.0,0,8388608,0
2,2,0.0038631999923381954,1.0,2.0,0,8388608,0
3,3,0.005604699981631711,1.0,3.0,0,8388608,0
4,4,0.005627799982903525,1.0,4.0,0,8388608,0
5,5,0.007437799999024719,1.0,5.0,0,8388608,0
6,6,0.007462699984898791,1.0,6.0,0,8388608,0
7,7,0.00747319997753948,1.0,7.0,0,8388608,0
8,8,0.00748209998710081,1.0,8.0,0,8388608,0
9,9,0.009290699992561713,1.0,9.0,0,8388608,0
10,10,0.009314599999925122,1.0,10.0,0,8388608,0
11,11,0.009325999999418855,1.0,11.0,0,8388608,0
12,12,0.009335699985967949,1.0,12.0,0,8388608,0
13,13,0.009344699996290728,1.0,13.0,0,8388608,0
14,14,0.009353799978271127,1.0,14.0,0,8388608,0
15,15,0.009363299992401153,1.0,15.0,0,8388608,0
16,16,0.00937259997590445,1.0,16.0,0,8388608,0
17,17,0.011100499978056177,1.0,17.0,0,8388608,0
18,18,0.011124099983135238,1.0,18.0,0,8388608,0
19,19,0.011136199987959117,1.0,19.0,0,8388608,0
20,20,0.011146399978315458,1.0,20.0,0,8388608,0
21,21,0.01115659999777563,1.0,21.0,0,8388608,0
22,22,0.011167399992700666,1.0,22.0,0,8388608,0
23,23,0.011177699983818457,1.0,23.0,0,8388608,0
24,24,0.011188099975697696,1.0,24.0,0,8388608,0
25,25,0.011198699998203665,1.0,25.0,0,8388608,0
26,26,0.01120979999541305,1.0,26.0,0,8388608,0
27,27,0.011220699991099536,1.0,27.0,0,8388608,0
28,28,0.011235499987378716,1.0,28.0,0,8388608,0
29,29,0.011253399978158996,1.0,29.0,0,8388608,0
30,30,0.011265299981459975,1.0,30.0,0,8388608,0
31,31,0.011277299985522404,1.0,31.0,0,8388608,0
32,32,0.011288799985777587,1.0,32.0,0,8388608,0
33,33,0.013042799982940778,1.0,33.0,0,8388608,0
34,34,0.013067499996395782,1.0,34.0,0,8388608,0
35,35,0.013081799988867715,1.0,35.0,0,8388608,0
36,36,0.01309439999749884,1.0,36.0,0,8388608,0
37,37,0.013106799975503236,1.0,37.0,0,8388608,0
38,38,0.013119399984134361,1.0,38.0,0,8388608,0
39,39,0.013131599989719689,1.0,39.0,0,8388608,0
40,40,0.013144099997589365,1.0,40.0,0,8388608,0
41,41,0.013157299981685355,1.0,41.0,0,8388608,0
42,42,0.01316999999107793,1.0,42.0,0,8388608,0
43,43,0.013182999973651022,1.0,43.0,0,8388608,0
44,44,0.013195999985327944,1.0,44.0,0,8388608,0
45,45,0.013209099997766316,1.0,45.0,0,8388608,0
46,46,0.01323059998685494,1.0,46.0,0,8388608,0
47,47,0.013246499991510063,1.0,47.0,0,8388608,0
48,48,0.01326029998017475,1.0,48.0,0,8388608,0
49,49,0.013274199998704717,1.0,49.0,0,8388608,0
50,50,0.013287899986607954,1.0,50.0,0,8388608,0
51,51,0.013302199979079887,1.0,51.0,0,8388608,0
52,52,0.01331670000217855,1.0,52.0,0,8388608,0
53,53,0.01333159999921918,1.0,53.0,0,8388608,0
54,54,0.01334629999473691,1.0,54.0,0,8388608,0
55,55,0.01336119999177754,1.0,55.0,0,8388608,0
56,56,0.01337599998805672,1.0,56.0,0,8388608,0
57,57,0.01339069998357445,1.0,57.0,0,8388608,0
58,58,0.01340559998061508,1.0,58.0,0,8388608,0
59,59,0.013420799979940057,1.0,59.0,0,8388608,0
60,60,0.013439199974527583,1.0,60.0,0,8388608,0
61,61,0.013458699977491051,1.0,61.0,0,8388608,0
62,62,0.013474899984430522,1.0,62.0,0,8388608,0
63,63,0.013490699988324195,1.0,63.0,0,8388608,0
64,64,0.013506799994502217,1.0,64.0,0,8388608,0
65,65,0.015391699998872355,1.0,65.0,0,8388608,0
66,66,0.015422299999045208,1.0,66.0,0,8388608,0
67,67,0.015441600000485778,1.0,67.0,0,8388608,0
68,68,0.01545909998822026,1.0,68.0,0,8388608,0
69,69,0.015476499975193292,1.0,69.0,0,8388608,0
70,70,0.015494099992793053,1.0,70.0,0,8388608,0
71,71,0.015514300001086667,2.0,72.0,0,8388608,0
72,72,0.015540299995336682,2.0,73.0,0,8388608,0
73,73,0.015562299988232553,2.0,74.0,0,8388608,0
74,74,0.01558049998129718,2.0,75.0,0,8388608,0
75,75,0.015598599973600358,2.0,76.0,0,8388608,0
76,76,0.015617199998814613,2.0,77.0,0,8388608,0
77,77,0.01563670000177808,2.0,78.0,0,8388608,0
78,78,0.015655299997888505,2.0,79.0,0,8388608,0
79,79,0.015679099975386634,2.0,80.0,0,8388608,0
80,80,0.01569749999907799,2.0,81.0,0,8388608,0
81,81,0.015716499998234212,2.0,82.0,0,8388608,0
82,82,0.015735799999674782,2.0,83.0,0,8388608,0
83,83,0.015754799998831004,2.0,84.0,0,8388608,0
84,84,0.015773599996464327,2.0,85.0,0,8388608,0
85,85,0.015792999998666346,2.0,86.0,0,8388608,0
86,86,0.015812400000868365,2.0,87.0,0,8388608,0
87,87,0.015831500000786036,2.0,88.0,0,8388608,0
88,88,0.015850800002226606,2.0,89.0,0,8388608,0
89,89,0.015871999989030883,2.0,90.0,0,8388608,0
90,90,0.01589299997431226,2.0,91.0,0,8388608,0
91,91,0.015917599987005815,2.0,92.0,0,8388608,0
92,92,0.01594659997499548,3.0,94.0,0,8388608,0
93,93,0.015967899991665035,3.0,95.0,0,8388608,0
94,94,0.015987599996151403,3.0,96.0,0,8388608,0
95,95,0.01600730000063777,3.0,97.0,0,8388608,0
96,96,0.016026999976020306,3.0,98.0,0,8388608,0
97,97,0.016046499978983775,3.0,99.0,0,8388608,0
98,98,0.01606649998575449,3.0,100.0,0,8388608,0
99,99,0.016086299991002306,3.0,101.0,0,8388608,0
100,100,0.016108399984659627,3.0,102.0,0,8388608,0
101,101,0.016129899973748252,3.0,103.0,0,8388608,0
102,102,0.016151599993463606,3.0,104.0,0,8388608,0
103,103,0.01617319998331368,3.0,105.0,0,8388608,0
104,104,0.016194499999983236,3.0,106.0,0,8388608,0
105,105,0.016216599993640557,3.0,107.0,0,8388608,0
106,106,0.016239099990343675,3.0,108.0,0,8388608,0
107,107,0.016261799988569692,3.0,109.0,0,8388608,0
108,108,0.016287999984342605,3.0,110.0,0,8388608,0
109,109,0.016314799984684214,3.0,111.0,0,8388608,0
110,110,0.01633779998519458,3.0,112.0,0,8388608,0
111,111,0.016360499983420596,3.0,113.0,0,8388608,0
112,112,0.01638359998469241,3.0,114.0,0,8388608,0
113,113,0.016406699985964224,3.0,115.0,0,8388608,0
114,114,0.016430599993327633,3.0,116.0,0,8388608,0
115,115,0.01645460000145249,3.0,117.0,0,8388608,0
116,116,0.016477400000439957,3.0,118.0,0,8388608,0
117,117,0.016507299995282665,3.0,119.0,0,8388608,0
118,118,0.016531199973542243,3.0,120.0,0,8388608,0
119,119,0.01655390000087209,3.0,121.0,0,8388608,0
120,120,0.016577099973801523,3.0,122.0,0,8388608,0
121,121,0.01660279999487102,3.0,123.0,0,8388608,0
122,122,0.016627499979222193,3.0,124.0,0,8388608,0
123,123,0.016657899977872148,4.0,126.0,0,8388608,0
124,124,0.01668719999724999,4.0,127.0,0,8388608,0
125,125,0.016713199991500005,4.0,128.0,0,8388608,0
126,126,0.016738599981181324,4.0,129.0,0,8388608,0
127,127,0.016763899999205023,4.0,130.0,0,8388608,0
128,128,0.01678939998964779,4.0,131.0,0,8388608,0
129,129,0.018934499996248633,4.0,132.0,0,8388608,0
130,130,0.01898229998187162,4.0,133.0,0,8388608,0
131,131,0.019015400001080707,4.0,134.0,0,8388608,0
132,132,0.01904309997917153,4.0,135.0,0,8388608,0
133,133,0.01906949997646734,4.0,136.0,0,8388608,0
134,134,0.0190963999775704,4.0,137.0,0,8388608,0
135,135,0.01912279997486621,4.0,138.0,0,8388608,0
136,136,0.019149200001265854,4.0,139.0,0,8388608,0
137,137,0.019176000001607463,4.0,140.0,0,8388608,0
138,138,0.019202800001949072,4.0,141.0,0,8388608,0
139,139,0.0192296999739483,4.0,142.0,0,8388608,0
140,140,0.019256699975812808,4.0,143.0,0,8388608,0
141,141,0.01928319997387007,4.0,144.0,0,8388608,0
142,142,0.019310499978018925,4.0,145.0,0,8388608,0
143,143,0.01934079997590743,4.0,146.0,0,8388608,0
144,144,0.019371299975318834,4.0,147.0,0,8388608,0
145,145,0.019400899996981025,4.0,148.0,0,8388608,0
146,146,0.019427899998845533,4.0,149.0,0,8388608,0
147,147,0.019456099980743602,4.0,150.0,0,8388608,0
148,148,0.019483399984892458,4.0,151.0,0,8388608,0
149,149,0.019513199978973716,4.0,152.0,0,8388608,0
150,150,0.019541499990737066,4.0,153.0,0,8388608,0
151,151,0.019570099975680932,4.0,154.0,0,8388608,0
152,152,0.01959869998972863,4.0,155.0,0,8388608,0
153,153,0.01962829998228699,4.0,156.0,0,8388608,0
154,154,0.019658699980936944,4.0,157.0,0,8388608,0
155,155,0.019688399974256754,4.0,158.0,0,8388608,0
156,156,0.019723799981875345,5.0,160.0,0,8388608,0
157,157,0.019758199981879443,5.0,161.0,0,8388608,0
158,158,0.019788599980529398,5.0,162.0,0,8388608,0
159,159,0.01981939998222515,5.0,163.0,0,8388608,0
160,160,0.019849799980875105,5.0,164.0,0,8388608,0
161,161,0.019879200001014397,5.0,165.0,0,8388608,0
162,162,0.019909299997380003,5.0,166.0,0,8388608,0
163,163,0.020100399997318164,5.0,167.0,0,8388608,0
164,164,0.02013219997752458,5.0,168.0,0,8388608,0
165,165,0.020162399974651635,5.0,169.0,0,8388608,0
166,166,0.020193599979393184,5.0,170.0,0,8388608,0
167,167,0.02022559999022633,5.0,171.0,0,8388608,0
168,168,0.020259799988707528,5.0,172.0,0,8388608,0
169,169,0.02029489999404177,5.0,173.0,0,8388608,0
170,170,0.020326699974248186,5.0,174.0,0,8388608,0
171,171,0.02035859998431988,5.0,175.0,0,8388608,0
172,172,0.02038999999058433,5.0,176.0,0,8388608,0
173,173,0.020423399982973933,5.0,177.0,0,8388608,0
174,174,0.02045640000142157,5.0,178.0,0,8388608,0
175,175,0.02049059999990277,6.0,180.0,0,8388608,0
176,176,0.02052299998467788,6.0,181.0,0,8388608,0
177,177,0.02055570000084117,6.0,182.0,0,8388608,0
178,178,0.020589099993230775,6.0,183.0,0,8388608,0
179,179,0.020625699980882928,6.0,184.0,0,8388608,0
180,180,0.02066259999992326,6.0,185.0,0,8388608,0
181,181,0.02069629999459721,6.0,186.0,0,8388608,0
182,182,0.020729699986986816,6.0,187.0,0,8388608,0
183,183,0.020763699983945116,6.0,188.0,0,8388608,0
184,184,0.020796700002392754,6.0,189.0,0,8388608,0
185,185,0.020831100002396852,6.0,190.0,0,8388608,0
186,186,0.0208652000001166,6.0,191.0,0,8388608,0
187,187,0.020899099996313453,6.0,192.0,0,8388608,0
188,188,0.020932999992510304,6.0,193.0,0,8388608,0
189,189,0.020967299991752952,6.0,194.0,0,8388608,0
190,190,0.021005499991588295,6.0,195.0,0,8388608,0
191,191,0.021043699991423637,6.0,196.0,0,8388608,0
192,192,0.021078499994473532,6.0,197.0,0,8388608,0
193,193,0.02111449997755699,6.0,198.0,0,8388608,0
194,194,0.021149499982129782,6.0,199.0,0,8388608,0
195,195,0.021184699988225475,6.0,200.0,0,8388608,0
196,196,0.021219999995082617,6.0,201.0,0,8388608,0
197,197,0.02125629998045042,6.0,202.0,0,8388608,0
198,198,0.021292999997967854,6.0,203.0,0,8388608,0
199,199,0.021329799987142906,6.0,204.0,0,8388608,0
200,200,0.021365599997807294,6.0,205.0,0,8388608,0
201,201,0.021413999987998977,6.0,206.0,0,8388608,0
202,202,0.021454399975482374,6.0,207.0,0,8388608,0
203,203,0.021490299986908212,6.0,208.0,0,8388608,0
204,204,0.021526899974560365,6.0,209.0,0,8388608,0
205,205,0.02156159997684881,6.0,210.0,0,8388608,0
206,206,0.021598099992843345,6.0,211.0,0,8388608,0
207,207,0.021634999982779846,6.0,212.0,0,8388608,0
208,208,0.021670899994205683,6.0,213.0,0,8388608,0
209,209,0.02170839998871088,6.0,214.0,0,8388608,0
210,210,0.02174539997940883,6.0,215.0,0,8388608,0
211,211,0.021786400000564754,6.0,216.0,0,8388608,0
212,212,0.021827999997185543,6.0,217.0,0,8388608,0
213,213,0.021866299997782335,6.0,218.0,0,8388608,0
214,214,0.021905000001424924,6.0,219.0,0,8388608,0
215,215,0.021946599998045713,6.0,220.0,0,8388608,0
216,216,0.02198540000244975,6.0,221.0,0,8388608,0
217,217,0.02202559998841025,6.0,222.0,0,8388608,0
218,218,0.022064899996621534,6.0,223.0,0,8388608,0
219,219,0.02210399997420609,6.0,224.0,0,8388608,0
220,220,0.022147299983771518,6.0,225.0,0,8388608,0
221,221,0.0221898999880068,6.0,226.0,0,8388608,0
222,222,0.022229700000025332,6.0,227.0,0,8388608,0
223,223,0.02226989998598583,6.0,228.0,0,8388608,0
224,224,0.02230849998886697,6.0,229.0,0,8388608,0
225,225,0.022346299985656515,6.0,230.0,0,8388608,0
226,226,0.022383599978638813,6.0,231.0,0,8388608,0
227,227,0.022420699999202043,6.0,232.0,0,8388608,0
228,228,0.02245789999142289,6.0,233.0,0,8388608,0
229,229,0.02249679999658838,6.0,234.0,0,8388608,0
230,230,0.022539999976288527,6.0,235.0,0,8388608,0
231,231,0.02258259998052381,6.0,236.0,0,8388608,0
232,232,0.02262269999482669,6.0,237.0,0,8388608,0
233,233,0.02266409998992458,6.0,238.0,0,8388608,0
234,234,0.022704799979692325,6.0,239.0,0,8388608,0
235,235,0.02274580000084825,6.0,240.0,0,8388608,0
236,236,0.0227856999845244,6.0,241.0,0,8388608,0
237,237,0.022826200001873076,6.0,242.0,0,8388608,0
238,238,0.02286709999316372,6.0,243.0,0,8388608,0
239,239,0.022908899991307408,6.0,244.0,0,8388608,0
240,240,0.022953699983190745,6.0,245.0,0,8388608,0
241,241,0.022996399988187477,6.0,246.0,0,8388608,0
242,242,0.02303729997947812,6.0,247.0,0,8388608,0
243,243,0.023078500002156943,6.0,248.0,0,8388608,0
244,244,0.02312030000030063,6.0,249.0,0,8388608,0
245,245,0.02316349998000078,6.0,250.0,0,8388608,0
246,246,0.023205899982713163,6.0,251.0,0,8388608,0
247,247,0.023252999992109835,6.0,252.0,0,8388608,0
248,248,0.02329839998856187,6.0,253.0,0,8388608,0
249,249,0.023342200001934543,6.0,254.0,0,8388608,0
250,250,0.02339170000050217,6.0,255.0,0,8388608,0
