,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,6.620000931434333e-05,2.0,0.0,250,4096
1,1,0.002026700007263571,2.0,2.0,250,4096
2,2,0.003538900025887415,2.0,4.0,250,4096
3,3,0.0051266000082250684,2.0,6.0,250,4096
4,4,0.005149200005689636,2.0,8.0,250,4096
5,5,0.006661899999016896,2.0,10.0,250,4096
6,6,0.006685500004095957,2.0,12.0,250,4096
7,7,0.006699600024148822,2.0,14.0,250,4096
8,8,0.006711300025926903,2.0,16.0,250,4096
9,9,0.008488999999826774,2.0,18.0,250,4096
10,10,0.008513900014804676,2.0,20.0,250,4096
11,11,0.008528700011083856,2.0,22.0,250,4096
12,12,0.008541700022760779,2.0,24.0,250,4096
13,13,0.008554100000765175,2.0,26.0,250,4096
14,14,0.0085667000093963,2.0,28.0,250,4096
15,15,0.008579300018027425,2.0,30.0,250,4096
16,16,0.008592300000600517,2.0,32.0,250,4096
17,17,0.010208899999270216,2.0,34.0,250,4096
18,18,0.010233800014248118,2.0,36.0,250,4096
19,19,0.010254000022541732,2.0,38.0,250,4096
20,20,0.010268000012729317,2.0,40.0,250,4096
21,21,0.010281200025929138,2.0,42.0,250,4096
22,22,0.010294400010025129,2.0,44.0,250,4096
23,23,0.01030760002322495,2.0,46.0,250,4096
24,24,0.010324700007913634,2.0,48.0,250,4096
25,25,0.010338799998862669,2.0,50.0,250,4096
26,26,0.01035340002272278,2.0,52.0,250,4096
27,27,0.010367600014433265,2.0,54.0,250,4096
28,28,0.010381900006905198,2.0,56.0,250,4096
29,29,0.01039640000090003,2.0,58.0,250,4096
30,30,0.010410800023237243,2.0,60.0,250,4096
31,31,0.010425500018754974,2.0,62.0,250,4096
32,32,0.010440300015034154,2.0,64.0,250,4096
33,33,0.0120943000074476,2.0,66.0,250,4096
34,34,0.012122000014642254,2.0,68.0,250,4096
35,35,0.012139700003899634,2.0,70.0,250,4096
36,36,0.012155700009316206,2.0,72.0,250,4096
37,37,0.012171200010925531,2.0,74.0,250,4096
38,38,0.012186700012534857,2.0,76.0,250,4096
39,39,0.012202000012621284,2.0,78.0,250,4096
40,40,0.012217500014230609,2.0,80.0,250,4096
41,41,0.012233300018124282,2.0,82.0,250,4096
42,42,0.012249100022017956,2.0,84.0,250,4096
43,43,0.012271900021005422,2.0,86.0,250,4096
44,44,0.012293900013901293,2.0,88.0,250,4096
45,45,0.012310999998589978,2.0,90.0,250,4096
46,46,0.012327300006290898,2.0,92.0,250,4096
47,47,0.012343800015514717,2.0,94.0,250,4096
48,48,0.012360300024738535,2.0,96.0,250,4096
49,49,0.012376900005619973,2.0,98.0,250,4096
50,50,0.012394300021696836,2.0,100.0,250,4096
51,51,0.012411600007908419,2.0,102.0,250,4096
52,52,0.012428800022462383,2.0,104.0,250,4096
53,53,0.012446400010958314,2.0,106.0,250,4096
54,54,0.012463700026273727,2.0,108.0,250,4096
55,55,0.012481300014769658,2.0,110.0,250,4096
56,56,0.01249880000250414,2.0,112.0,250,4096
57,57,0.012516800023149699,2.0,114.0,250,4096
58,58,0.012536100024590269,2.0,116.0,250,4096
59,59,0.012554200016893446,2.0,118.0,250,4096
60,60,0.012572400009958073,2.0,120.0,250,4096
61,61,0.012590500002261251,2.0,122.0,250,4096
62,62,0.012608700024429709,2.0,124.0,250,4096
63,63,0.012630400015041232,2.0,126.0,250,4096
64,64,0.012653800018597394,2.0,128.0,250,4096
65,65,0.014632800011895597,2.0,130.0,250,4096
66,66,0.014666900009615347,2.0,132.0,250,4096
67,67,0.014689900010125712,2.0,134.0,250,4096
68,68,0.014710000017657876,2.0,135.0,250,4096
69,69,0.014731800009030849,2.0,137.0,250,4096
70,70,0.014752600021893159,2.0,139.0,250,4096
71,71,0.014773500006413087,2.0,141.0,250,4096
72,72,0.014832000015303493,2.0,143.0,250,4096
73,73,0.014879100024700165,2.0,145.0,250,4096
74,74,0.014905600022757426,2.0,147.0,250,4096
75,75,0.01492880002479069,2.0,149.0,250,4096
76,76,0.014952700003050268,2.0,151.0,250,4096
77,77,0.014974200021242723,2.0,153.0,250,4096
78,78,0.014994700002716854,2.0,155.0,250,4096
79,79,0.015015400014817715,2.0,157.0,250,4096
80,80,0.015042000013636425,2.0,159.0,250,4096
81,81,0.015067100001033396,2.0,161.0,250,4096
82,82,0.01508860001922585,2.0,163.0,250,4096
83,83,0.015109700005268678,2.0,165.0,250,4096
84,84,0.015131200023461133,2.0,167.0,250,4096
85,85,0.015153400017879903,2.0,169.0,250,4096
86,86,0.015175400010775775,2.0,171.0,250,4096
87,87,0.015197200002148747,2.0,173.0,250,4096
88,88,0.015219100023387,2.0,175.0,250,4096
89,89,0.01524269999936223,2.0,177.0,250,4096
90,90,0.015265900001395494,2.0,179.0,250,4096
91,91,0.015289000002667308,2.0,181.0,250,4096
92,92,0.01531230000546202,2.0,183.0,250,4096
93,93,0.015335900010541081,2.0,185.0,250,4096
94,94,0.015358800010289997,2.0,187.0,250,4096
95,95,0.015385600010631606,2.0,189.0,250,4096
96,96,0.015412300010211766,2.0,191.0,250,4096
97,97,0.015435800014529377,2.0,193.0,250,4096
98,98,0.015458600013516843,2.0,195.0,250,4096
99,99,0.015481900016311556,2.0,197.0,250,4096
100,100,0.015504900016821921,2.0,199.0,250,4096
101,101,0.01552880002418533,2.0,201.0,250,4096
102,102,0.01555250000092201,2.0,203.0,250,4096
103,103,0.01557610000600107,2.0,205.0,250,4096
104,104,0.01559990001260303,2.0,207.0,250,4096
105,105,0.015623900020727888,2.0,209.0,250,4096
106,106,0.015647600026568398,2.0,211.0,250,4096
107,107,0.015673200017772615,2.0,213.0,250,4096
108,108,0.01569749999907799,2.0,215.0,250,4096
109,109,0.015723200020147488,2.0,217.0,250,4096
110,110,0.015793200000189245,2.0,219.0,250,4096
111,111,0.015847900009248406,2.0,221.0,250,4096
112,112,0.0158798000193201,2.0,223.0,250,4096
113,113,0.01590800000121817,2.0,225.0,250,4096
114,114,0.015935400006128475,1.0,227.0,250,4096
115,115,0.015961900004185736,1.0,229.0,250,4096
116,116,0.0159879999991972,1.0,231.0,250,4096
117,117,0.016014400025596842,1.0,233.0,250,4096
118,118,0.01604149999911897,1.0,235.0,250,4096
119,119,0.016068600001744926,1.0,237.0,250,4096
120,120,0.01609489999827929,1.0,239.0,250,4096
121,121,0.016121699998620898,1.0,241.0,250,4096
122,122,0.0161493000050541,1.0,243.0,250,4096
123,123,0.016175299999304116,1.0,245.0,250,4096
124,124,0.016201100021135062,1.0,247.0,250,4096
125,125,0.016227600019192323,1.0,249.0,250,4096
126,126,0.016254300018772483,1.0,251.0,250,4096
127,127,0.016280800016829744,1.0,253.0,250,4096
128,128,0.016307700017932802,1.0,255.0,250,4096
129,129,0.018510500027332455,1.0,257.0,250,4096
130,130,0.0185510000155773,1.0,259.0,250,4096
131,131,0.018581400014227256,1.0,261.0,250,4096
132,132,0.018609999999171123,1.0,263.0,250,4096
133,133,0.01863850001245737,1.0,265.0,250,4096
134,134,0.018666400021174923,1.0,267.0,250,4096
135,135,0.018694300000788644,1.0,269.0,250,4096
136,136,0.018722200009506196,1.0,271.0,250,4096
137,137,0.018750200018985197,1.0,273.0,250,4096
138,138,0.01877809999859892,1.0,275.0,250,4096
139,139,0.01880620000883937,1.0,277.0,250,4096
140,140,0.01883420001831837,1.0,279.0,250,4096
141,141,0.01886219999869354,1.0,281.0,250,4096
142,142,0.018891000014264137,1.0,283.0,250,4096
143,143,0.018919499998446554,1.0,285.0,250,4096
144,144,0.01894830001401715,1.0,287.0,250,4096
145,145,0.018977400002768263,1.0,289.0,250,4096
146,146,0.01900630001910031,1.0,291.0,250,4096
147,147,0.01903570001013577,1.0,293.0,250,4096
148,148,0.019064700027229264,1.0,295.0,250,4096
149,149,0.019095600000582635,1.0,297.0,250,4096
150,150,0.019125600025290623,1.0,299.0,250,4096
151,151,0.01915430001099594,1.0,301.0,250,4096
152,152,0.01918360000126995,1.0,303.0,250,4096
153,153,0.019213200022932142,1.0,305.0,250,4096
154,154,0.0192430000170134,1.0,307.0,250,4096
155,155,0.019272300007287413,1.0,309.0,250,4096
156,156,0.019302000000607222,1.0,311.0,250,4096
157,157,0.019331600022269413,1.0,313.0,250,4096
158,158,0.019361100014066324,1.0,315.0,250,4096
159,159,0.019390900008147582,1.0,317.0,250,4096
160,160,0.019432000000961125,1.0,319.0,250,4096
161,161,0.019464300014078617,1.0,321.0,250,4096
162,162,0.01949490001425147,1.0,323.0,250,4096
163,163,0.01952620001975447,1.0,325.0,250,4096
164,164,0.01955720002297312,1.0,327.0,250,4096
165,165,0.019587800023145974,1.0,329.0,250,4096
166,166,0.019618999998783693,1.0,331.0,250,4096
167,167,0.01965060000657104,1.0,333.0,250,4096
168,168,0.019682500016642734,1.0,335.0,250,4096
169,169,0.01971420002519153,1.0,337.0,250,4096
170,170,0.019750500010559335,1.0,339.0,250,4096
171,171,0.019787299999734387,1.0,341.0,250,4096
172,172,0.01981970001361333,1.0,343.0,250,4096
173,173,0.019852800003718585,0.0,345.0,250,4096
174,174,0.019885700021404773,0.0,347.0,250,4096
175,175,0.019917800003895536,0.0,349.0,250,4096
176,176,0.01994960001320578,0.0,351.0,250,4096
