,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,5.0,100,0.0006359000108204782,"[0, 1, 1, 0, 1]",100,0.1,8192
1,1,0.0,202,0.004143700003623962,"[0, 0, 0, 0, 0]",100,0.1,8192
2,2,0.0,303,0.007316500006709248,"[0, 0, 0, 0, 0]",100,0.1,8192
3,4,0.0,505,0.012200700002722442,"[0, 0, 0, 0, 0]",100,0.1,8192
4,8,0.0,909,0.02091750002000481,"[0, 0, 0, 0, 0]",100,0.1,8192
5,16,0.0,1717,0.036719199997605756,"[0, 0, 0, 0, 0]",100,0.1,8192
6,32,0.0,3333,0.06629000001703389,"[0, 0, 0, 0, 0]",100,0.1,8192
7,64,0.0,6565,0.12319460001890548,"[0, 0, 0, 0, 0]",100,0.1,8192
8,128,0.0,13029,0.23653310001827776,"[0, 0, 0, 0, 0]",100,0.1,8192
9,256,0.0,25957,0.4666588999971282,"[0, 0, 0, 0, 0]",100,0.1,8192
10,512,0.0,51813,1.460931800014805,"[0, 0, 0, 0, 0]",100,0.1,8192
11,1024,0.0,101202,2.3645288000116125,"[0, 0, 0, 0, 0]",100,0.1,8192
12,2048,0.0,101202,2.3645288000116125,"[0, 0, 0, 0, 0]",100,0.1,8192
13,4096,0.0,101202,2.3645288000116125,"[0, 0, 0, 0, 0]",100,0.1,8192
14,8192,0.0,101202,2.3645288000116125,"[0, 0, 0, 0, 0]",100,0.1,8192
15,0,0.0,100,0.0008444999984931201,"[1, 1, 1, 1, 1]",100,0.2,8192
16,1,0.0,201,0.007002900005318224,"[1, 1, 1, 1, 1]",100,0.2,8192
17,2,0.0,302,0.012614900013431907,"[1, 1, 1, 1, 1]",100,0.2,8192
18,4,0.0,504,0.020894600020255893,"[1, 1, 1, 1, 1]",100,0.2,8192
19,8,0.0,908,0.03193759999703616,"[1, 1, 1, 1, 1]",100,0.2,8192
20,16,0.0,1716,0.04990040001575835,"[1, 1, 1, 1, 1]",100,0.2,8192
21,32,0.0,3332,0.0818509999953676,"[1, 1, 1, 1, 1]",100,0.2,8192
22,64,0.0,6564,0.14614050000091083,"[1, 1, 1, 1, 1]",100,0.2,8192
23,128,0.0,13028,0.2659983000194188,"[1, 1, 1, 1, 1]",100,0.2,8192
24,256,0.0,25956,0.4993796000198927,"[1, 1, 1, 1, 1]",100,0.2,8192
25,512,0.0,51812,0.971932900021784,"[1, 1, 1, 1, 1]",100,0.2,8192
26,1024,0.0,101100,1.8845496000139974,"[1, 1, 1, 1, 1]",100,0.2,8192
