,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,3.0,100,0.0006259999936446548,"[1, 1, 0, 1, 1]",True,100,0.2,8192
1,1,0.0,202,0.003639100003056228,"[0.0, 0.0, 0.0, 0.0, 0.0]",True,100,0.2,8192
2,2,0.0,303,0.00614870002027601,"[0.0, 0.0, 0.0, 0.0, 0.0]",True,100,0.2,8192
3,4,0.0,505,0.009659800009103492,"[0.0, 0.0, 0.0, 0.0, 0.0]",True,100,0.2,8192
4,8,0.0,909,0.01547539999592118,"[0.0, 0.0, 0.0, 0.0, 0.0]",True,100,0.2,8192
5,16,0.0,1717,0.025441300007514656,"[0.0, 0.0, 0.0, 0.0, 0.0]",True,100,0.2,8192
6,32,0.0,3333,0.043287500011501834,"[0.0, 0.0, 0.0, 0.0, 0.0]",True,100,0.2,8192
7,64,0.0,6565,0.07483810000121593,"[0.0, 0.0, 0.0, 0.0, 0.0]",True,100,0.2,8192
8,128,0.0,13029,0.13608280001790263,"[0.0, 0.0, 0.0, 0.0, 0.0]",True,100,0.2,8192
9,256,0.0,25957,0.2631155000126455,"[0.0, 0.0, 0.0, 0.0, 0.0]",True,100,0.2,8192
10,512,0.0,50702,0.5027500000142027,"[0.0, 0.0, 0.0, 0.0, 0.0]",True,100,0.2,8192
11,1024,0.0,50702,0.5027500000142027,"[0.0, 0.0, 0.0, 0.0, 0.0]",True,100,0.2,8192
12,2048,0.0,50702,0.5027500000142027,"[0.0, 0.0, 0.0, 0.0, 0.0]",True,100,0.2,8192
13,4096,0.0,50702,0.5027500000142027,"[0.0, 0.0, 0.0, 0.0, 0.0]",True,100,0.2,8192
14,8192,0.0,50702,0.5027500000142027,"[0.0, 0.0, 0.0, 0.0, 0.0]",True,100,0.2,8192
15,0,3.0,200,0.0018150000250898302,"[0, 1, 1, 1, 0]",True,200,0.2,8192
16,1,0.0,402,0.007415800006128848,"[1.0, 1.0, 1.0, 1.0, 1.0]",True,200,0.2,8192
17,2,0.0,603,0.013309700007084757,"[1.0, 1.0, 1.0, 1.0, 1.0]",True,200,0.2,8192
18,4,0.0,1005,0.018896699999459088,"[1.0, 1.0, 1.0, 1.0, 1.0]",True,200,0.2,8192
19,8,0.0,1809,0.027335100021446124,"[1.0, 1.0, 1.0, 1.0, 1.0]",True,200,0.2,8192
20,16,0.0,3417,0.04041370001505129,"[1.0, 1.0, 1.0, 1.0, 1.0]",True,200,0.2,8192
21,32,0.0,6633,0.06423109999741428,"[1.0, 1.0, 1.0, 1.0, 1.0]",True,200,0.2,8192
22,64,0.0,13065,0.10764250002102926,"[1.0, 1.0, 1.0, 1.0, 1.0]",True,200,0.2,8192
23,128,0.0,25929,0.20464650000212714,"[1.0, 1.0, 1.0, 1.0, 1.0]",True,200,0.2,8192
24,256,0.0,51657,0.3681349999969825,"[1.0, 1.0, 1.0, 1.0, 1.0]",True,200,0.2,8192
25,512,0.0,100902,0.680490099999588,"[1.0, 1.0, 1.0, 1.0, 1.0]",True,200,0.2,8192
26,1024,0.0,100902,0.680490099999588,"[1.0, 1.0, 1.0, 1.0, 1.0]",True,200,0.2,8192
27,2048,0.0,100902,0.680490099999588,"[1.0, 1.0, 1.0, 1.0, 1.0]",True,200,0.2,8192
28,4096,0.0,100902,0.680490099999588,"[1.0, 1.0, 1.0, 1.0, 1.0]",True,200,0.2,8192
29,8192,0.0,100902,0.680490099999588,"[1.0, 1.0, 1.0, 1.0, 1.0]",True,200,0.2,8192
