,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,4.0,0,6.140000186860561e-05,"[1, 1, 0, 0, 1]",0,8192,0
1,1,3.0,2,0.0022628000006079674,"[1, 1, 0, 1, 1]",0,8192,0
2,2,3.0,3,0.003993400023318827,"[1, 1, 0, 1, 1]",0,8192,0
3,4,0.0,6,0.005635500012431294,"[1, 1, 1, 1, 1]",0,8192,0
4,8,0.0,10,0.007259300007717684,"[1, 1, 1, 1, 1]",0,8192,0
5,16,0.0,18,0.009323900012532249,"[1, 1, 1, 1, 1]",0,8192,0
6,32,0.0,34,0.011212200013687834,"[1, 1, 1, 1, 1]",0,8192,0
7,64,0.0,66,0.013430200022412464,"[1, 1, 1, 1, 1]",0,8192,0
8,128,0.0,130,0.01657310000155121,"[1, 1, 1, 1, 1]",0,8192,0
9,256,0.0,258,0.023087000008672476,"[1, 1, 1, 1, 1]",0,8192,0
10,512,0.0,514,0.04154860001290217,"[1, 1, 1, 1, 1]",0,8192,0
11,1024,0.0,1006,0.09934050001902506,"[1, 1, 1, 1, 1]",0,8192,0
12,2048,0.0,1006,0.09934050001902506,"[1, 1, 1, 1, 1]",0,8192,0
13,4096,0.0,1006,0.09934050001902506,"[1, 1, 1, 1, 1]",0,8192,0
14,8192,0.0,1006,0.09934050001902506,"[1, 1, 1, 1, 1]",0,8192,0
