,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,4.020001506432891e-05,3.0,0.0,250,8192
1,1,0.0018262999947182834,4.0,2.0,250,8192
2,2,0.0033650000113993883,4.0,4.0,250,8192
3,3,0.0051099999982398,5.0,6.0,250,8192
4,4,0.005132699996465817,2.0,8.0,250,8192
5,5,0.006795699999202043,0.0,10.0,250,8192
6,6,0.006832300015958026,3.0,12.0,250,8192
7,7,0.006846700009191409,0.0,14.0,250,8192
8,8,0.0068623000115621835,3.0,16.0,250,8192
9,9,0.0085296000179369,3.0,18.0,250,8192
10,10,0.008567300013964996,4.0,20.0,250,8192
11,11,0.008584099996369332,3.0,22.0,250,8192
12,12,0.00859909999417141,2.0,24.0,250,8192
13,13,0.008613700018031523,3.0,26.0,250,8192
14,14,0.008627600007457659,4.0,28.0,250,8192
15,15,0.008640400017611682,3.0,30.0,250,8192
16,16,0.008653299999423325,0.0,32.0,250,8192
17,17,0.010516100010136142,3.0,34.0,250,8192
18,18,0.010546700010308996,4.0,36.0,250,8192
19,19,0.010567599994828925,2.0,38.0,250,8192
20,20,0.01058470000862144,4.0,40.0,250,8192
21,21,0.01059950000490062,3.0,42.0,250,8192
22,22,0.0106140999996569,1.0,44.0,250,8192
23,23,0.010639700019964948,4.0,46.0,250,8192
24,24,0.010658500017598271,4.0,48.0,250,8192
25,25,0.010674199991626665,3.0,50.0,250,8192
26,26,0.010689300019294024,2.0,52.0,250,8192
27,27,0.010704899992560968,1.0,54.0,250,8192
28,28,0.010721700004069135,4.0,56.0,250,8192
29,29,0.010738000011770055,5.0,58.0,250,8192
30,30,0.010753200011095032,4.0,60.0,250,8192
31,31,0.010768600011942908,3.0,62.0,250,8192
32,32,0.010785499995108694,4.0,64.0,250,8192
33,33,0.012627000018255785,3.0,66.0,250,8192
34,34,0.012654599995585158,1.0,68.0,250,8192
35,35,0.012687900016317144,3.0,70.0,250,8192
36,36,0.012707000016234815,4.0,72.0,250,8192
37,37,0.0127241000009235,3.0,74.0,250,8192
38,38,0.012740500009385869,2.0,76.0,250,8192
39,39,0.0127580999978818,3.0,78.0,250,8192
40,40,0.012775400013197213,4.0,80.0,250,8192
41,41,0.012791799992555752,3.0,82.0,250,8192
42,42,0.012809800013201311,4.0,84.0,250,8192
43,43,0.012826999998651445,3.0,86.0,250,8192
44,44,0.012843500007875264,2.0,88.0,250,8192
45,45,0.012861499999416992,3.0,90.0,250,8192
46,46,0.01287959999172017,3.0,92.0,250,8192
47,47,0.012897600012365729,4.0,94.0,250,8192
48,48,0.012914699997054413,3.0,96.0,250,8192
49,49,0.012933299993164837,3.0,98.0,250,8192
50,50,0.012952100019901991,4.0,100.0,250,8192
51,51,0.01297010001144372,3.0,102.0,250,8192
52,52,0.012988700007554144,4.0,104.0,250,8192
53,53,0.01300710000214167,3.0,106.0,250,8192
54,54,0.013035500014666468,2.0,108.0,250,8192
55,55,0.01305740000680089,3.0,110.0,250,8192
56,56,0.013075900002149865,2.0,112.0,250,8192
57,57,0.013095300004351884,5.0,114.0,250,8192
58,58,0.013114300003508106,2.0,116.0,250,8192
59,59,0.013133900007233024,3.0,118.0,250,8192
60,60,0.013154700020095333,1.0,120.0,250,8192
61,61,0.013174899999285117,2.0,122.0,250,8192
62,62,0.013195600011385977,3.0,124.0,250,8192
63,63,0.013215700018918142,4.0,126.0,250,8192
64,64,0.013235299993539229,3.0,128.0,250,8192
65,65,0.014980200008722022,4.0,130.0,250,8192
66,66,0.015012200019555166,3.0,132.0,250,8192
67,67,0.01503680000314489,4.0,134.0,250,8192
68,68,0.01505770001676865,3.0,136.0,250,8192
69,69,0.015080200013471767,4.0,138.0,250,8192
70,70,0.015103300014743581,3.0,140.0,250,8192
71,71,0.0151258000114467,4.0,142.0,250,8192
72,72,0.01514940001652576,4.0,144.0,250,8192
73,73,0.015170600003330037,3.0,146.0,250,8192
74,74,0.015192899998510256,4.0,148.0,250,8192
75,75,0.015213800012134016,1.0,150.0,250,8192
76,76,0.015245200018398464,2.0,152.0,250,8192
77,77,0.015269600000465289,3.0,154.0,250,8192
78,78,0.015292500000214204,4.0,156.0,250,8192
79,79,0.01531400001840666,3.0,158.0,250,8192
80,80,0.015337299992097542,4.0,160.0,250,8192
81,81,0.015359200013335794,3.0,162.0,250,8192
82,82,0.015382300014607608,4.0,164.0,250,8192
83,83,0.015405500016640872,3.0,166.0,250,8192
84,84,0.015427000005729496,2.0,168.0,250,8192
85,85,0.015450400009285659,5.0,170.0,250,8192
86,86,0.015472900005988777,3.0,172.0,250,8192
87,87,0.015494799998123199,2.0,174.0,250,8192
88,88,0.015518100000917912,4.0,176.0,250,8192
89,89,0.01554049999685958,3.0,178.0,250,8192
90,90,0.015563199995085597,1.0,180.0,250,8192
91,91,0.015591300005326048,4.0,182.0,250,8192
92,92,0.015826200018636882,5.0,184.0,250,8192
93,93,0.015873199998168275,3.0,186.0,250,8192
94,94,0.015901100006885827,0.0,188.0,250,8192
95,95,0.01592870001331903,2.0,190.0,250,8192
96,96,0.015954500006046146,3.0,192.0,250,8192
97,97,0.01598070000181906,1.0,194.0,250,8192
98,98,0.016005200013751164,4.0,196.0,250,8192
99,99,0.016029199992772192,3.0,198.0,250,8192
100,100,0.016055000014603138,3.0,200.0,250,8192
101,101,0.016080500005045906,4.0,202.0,250,8192
102,102,0.016105799993965775,4.0,204.0,250,8192
103,103,0.016139899991685525,3.0,206.0,250,8192
104,104,0.01616719999583438,1.0,208.0,250,8192
105,105,0.016194499999983236,4.0,210.0,250,8192
106,106,0.01622069999575615,5.0,212.0,250,8192
107,107,0.01624580001225695,4.0,214.0,250,8192
108,108,0.01627120000193827,2.0,216.0,250,8192
109,109,0.016298800008371472,3.0,218.0,250,8192
110,110,0.01632580001023598,4.0,220.0,250,8192
111,111,0.016351500002201647,3.0,222.0,250,8192
112,112,0.016380899993237108,4.0,224.0,250,8192
113,113,0.01640710001811385,5.0,226.0,250,8192
114,114,0.01643240000703372,4.0,228.0,250,8192
115,115,0.01645769999595359,3.0,230.0,250,8192
116,116,0.01648879999993369,3.0,232.0,250,8192
117,117,0.016554700006963685,2.0,234.0,250,8192
118,118,0.016586300014751032,3.0,236.0,250,8192
119,119,0.016613899992080405,4.0,238.0,250,8192
120,120,0.016640999994706362,5.0,240.0,250,8192
121,121,0.016668700001901016,4.0,242.0,250,8192
122,122,0.016695700003765523,3.0,244.0,250,8192
123,123,0.016723600012483075,4.0,246.0,250,8192
124,124,0.016750400012824684,3.0,248.0,250,8192
125,125,0.01677760001621209,2.0,250.0,250,8192
126,126,0.01680589999887161,3.0,252.0,250,8192
127,127,0.016834500012919307,3.0,254.0,250,8192
128,128,0.01686649999464862,4.0,256.0,250,8192
129,129,0.019041199993807822,3.0,258.0,250,8192
130,130,0.019086700020125136,2.0,260.0,250,8192
131,131,0.019119000004138798,1.0,262.0,250,8192
132,132,0.019149100000504404,0.0,264.0,250,8192
133,133,0.019183099997462705,3.0,266.0,250,8192
134,134,0.019216000015148893,3.0,268.0,250,8192
135,135,0.01924739999230951,3.0,270.0,250,8192
136,136,0.019296900019980967,4.0,272.0,250,8192
137,137,0.01933199999621138,4.0,274.0,250,8192
138,138,0.019362099992576987,3.0,276.0,250,8192
139,139,0.019393399998079985,2.0,278.0,250,8192
