,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,3.0,0,4.020001506432891e-05,"[0, 1, 1, 1, 0]",exponential,250,0.005,0.001,249.9999497499862,250,8192
1,1,4.0,2,0.0018262999947182834,"[0, 0, 1, 1, 0]",exponential,250,0.005,0.001,249.9977171354296,250,8192
2,2,4.0,4,0.0033650000113993883,"[1, 0, 1, 1, 0]",exponential,250,0.005,0.001,249.99579378537064,250,8192
3,4,2.0,8,0.005132699996465817,"[1, 0, 0, 0, 0]",exponential,250,0.005,0.001,249.99358420733063,250,8192
4,8,3.0,16,0.0068623000115621835,"[0, 1, 0, 0, 0]",exponential,250,0.005,0.001,249.99142227214375,250,8192
5,16,0.0,32,0.008653299999423325,"[1, 1, 1, 1, 1]",exponential,250,0.005,0.001,249.98918360899611,250,8192
6,32,4.0,64,0.010785499995108694,"[1, 0, 1, 0, 1]",exponential,250,0.005,0.001,249.98651848852148,250,8192
7,64,3.0,128,0.013235299993539229,"[0, 1, 1, 1, 0]",exponential,250,0.005,0.001,249.98345642241216,250,8192
8,128,4.0,256,0.01686649999464862,"[1, 1, 0, 0, 1]",exponential,250,0.005,0.001,249.97891776397802,250,8192
9,256,2.0,509,0.024457999999867752,"[0, 1, 1, 1, 1]",exponential,250,0.005,0.001,249.96942936927948,250,8192
10,512,3.0,1016,0.04336070001590997,"[0, 1, 1, 1, 0]",exponential,250,0.005,0.001,249.94580500002522,250,8192
11,1024,1.0,1955,0.10510459999204613,"[1, 1, 1, 1, 0]",exponential,250,0.005,0.001,249.86865376576634,250,8192
12,2048,0.0,3060,0.33534200000576675,"[1, 1, 1, 1, 1]",exponential,250,0.005,0.001,249.58117372321857,250,8192
13,4096,0.0,3350,0.4311073000135366,"[1, 1, 1, 1, 1]",exponential,250,0.005,0.001,249.46169625010197,250,8192
14,8192,0.0,3350,0.4311073000135366,"[1, 1, 1, 1, 1]",exponential,250,0.005,0.001,249.46169625010197,250,8192
