,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.0018726999987848103,0.0,200.0,200,0.3,8192
1,1,0.008124299987684935,9.0,402.0,200,0.3,8192
2,2,0.014355799998156726,9.0,603.0,200,0.3,8192
3,3,0.02081519999774173,9.0,804.0,200,0.3,8192
4,4,0.025158300006296486,9.0,1005.0,200,0.3,8192
5,5,0.03184139999211766,9.0,1206.0,200,0.3,8192
6,6,0.03645009998581372,9.0,1407.0,200,0.3,8192
7,7,0.0411440999887418,9.0,1608.0,200,0.3,8192
8,8,0.04560219999984838,9.0,1809.0,200,0.3,8192
9,9,0.05196330000762828,9.0,2010.0,200,0.3,8192
10,10,0.056830399989848956,9.0,2211.0,200,0.3,8192
11,11,0.0612181999895256,9.0,2412.0,200,0.3,8192
12,12,0.06583989999489859,9.0,2613.0,200,0.3,8192
13,13,0.07063629999174736,9.0,2814.0,200,0.3,8192
14,14,0.07503859998541884,9.0,3015.0,200,0.3,8192
15,15,0.07938949999515899,9.0,3216.0,200,0.3,8192
16,16,0.08410720000392757,9.0,3417.0,200,0.3,8192
17,17,0.09031569998478517,9.0,3618.0,200,0.3,8192
18,18,0.09511259998544119,9.0,3819.0,200,0.3,8192
19,19,0.1000511999882292,9.0,4020.0,200,0.3,8192
20,20,0.10457429999951273,9.0,4221.0,200,0.3,8192
21,21,0.10936549998586997,9.0,4422.0,200,0.3,8192
22,22,0.11409819999244064,9.0,4623.0,200,0.3,8192
23,23,0.11845800001174212,9.0,4824.0,200,0.3,8192
24,24,0.12326520000351593,9.0,5025.0,200,0.3,8192
25,25,0.12775549999787472,9.0,5226.0,200,0.3,8192
26,26,0.1324765000026673,9.0,5427.0,200,0.3,8192
27,27,0.13707520000752993,9.0,5628.0,200,0.3,8192
28,28,0.14144070001202635,9.0,5829.0,200,0.3,8192
29,29,0.1459976999904029,9.0,6030.0,200,0.3,8192
30,30,0.15069380000932142,9.0,6231.0,200,0.3,8192
31,31,0.15507440001238137,9.0,6432.0,200,0.3,8192
32,32,0.16047810000600293,9.0,6633.0,200,0.3,8192
33,33,0.1670037999865599,9.0,6834.0,200,0.3,8192
34,34,0.17140349998953752,9.0,7035.0,200,0.3,8192
35,35,0.17653190001146868,9.0,7236.0,200,0.3,8192
36,36,0.18099719999008812,9.0,7437.0,200,0.3,8192
37,37,0.18527159999939613,9.0,7638.0,200,0.3,8192
38,38,0.19091040000785142,9.0,7839.0,200,0.3,8192
39,39,0.195120099990163,9.0,8040.0,200,0.3,8192
40,40,0.19943350000539795,9.0,8241.0,200,0.3,8192
41,41,0.2040848000033293,9.0,8442.0,200,0.3,8192
42,42,0.20840880001196638,9.0,8643.0,200,0.3,8192
43,43,0.21269680000841618,9.0,8844.0,200,0.3,8192
44,44,0.21728839998831972,9.0,9045.0,200,0.3,8192
45,45,0.22206100000767037,9.0,9246.0,200,0.3,8192
46,46,0.22646099998382851,9.0,9447.0,200,0.3,8192
47,47,0.23127339998609386,9.0,9648.0,200,0.3,8192
48,48,0.23570260000997223,9.0,9849.0,200,0.3,8192
49,49,0.24026009999215603,9.0,10050.0,200,0.3,8192
50,50,0.24473149998812005,9.0,10251.0,200,0.3,8192
51,51,0.2490776999911759,9.0,10452.0,200,0.3,8192
52,52,0.2539493000076618,9.0,10653.0,200,0.3,8192
53,53,0.2586512000125367,9.0,10854.0,200,0.3,8192
54,54,0.2629972999857273,9.0,11055.0,200,0.3,8192
55,55,0.26836349998484366,9.0,11256.0,200,0.3,8192
56,56,0.27297550000366755,9.0,11457.0,200,0.3,8192
57,57,0.2774504999979399,9.0,11658.0,200,0.3,8192
58,58,0.28238049999345094,9.0,11859.0,200,0.3,8192
59,59,0.28681250000954606,9.0,12060.0,200,0.3,8192
60,60,0.2911571000004187,9.0,12261.0,200,0.3,8192
61,61,0.295788099989295,9.0,12462.0,200,0.3,8192
62,62,0.3003888000093866,9.0,12663.0,200,0.3,8192
63,63,0.30470239999704063,9.0,12864.0,200,0.3,8192
64,64,0.3092305999889504,9.0,13065.0,200,0.3,8192
65,65,0.3161621000035666,9.0,13266.0,200,0.3,8192
66,66,0.32064160000300035,9.0,13467.0,200,0.3,8192
67,67,0.3250865000009071,9.0,13668.0,200,0.3,8192
68,68,0.3298060999950394,9.0,13869.0,200,0.3,8192
69,69,0.3342423999856692,9.0,14070.0,200,0.3,8192
70,70,0.3386484000075143,9.0,14271.0,200,0.3,8192
71,71,0.3430703000049107,9.0,14472.0,200,0.3,8192
72,72,0.3478467999957502,9.0,14673.0,200,0.3,8192
73,73,0.3522381999937352,9.0,14874.0,200,0.3,8192
74,74,0.3565232999972068,9.0,15075.0,200,0.3,8192
75,75,0.36091260000830516,9.0,15276.0,200,0.3,8192
76,76,0.36548239999683574,9.0,15477.0,200,0.3,8192
77,77,0.36983609999879263,9.0,15678.0,200,0.3,8192
78,78,0.3747188000124879,9.0,15879.0,200,0.3,8192
79,79,0.3802076999854762,9.0,16080.0,200,0.3,8192
80,80,0.38464949998888187,9.0,16281.0,200,0.3,8192
81,81,0.3902239000017289,9.0,16482.0,200,0.3,8192
82,82,0.39485459998832084,9.0,16683.0,200,0.3,8192
83,83,0.3994986999896355,9.0,16884.0,200,0.3,8192
84,84,0.4042683999869041,9.0,17085.0,200,0.3,8192
85,85,0.4088736000121571,9.0,17286.0,200,0.3,8192
86,86,0.4133570999838412,9.0,17487.0,200,0.3,8192
87,87,0.4179524999926798,9.0,17688.0,200,0.3,8192
88,88,0.4222377999976743,9.0,17889.0,200,0.3,8192
89,89,0.42673089998424985,9.0,18090.0,200,0.3,8192
90,90,0.4314589999848977,9.0,18291.0,200,0.3,8192
91,91,0.43580649999785237,9.0,18492.0,200,0.3,8192
92,92,0.44044119998579845,9.0,18693.0,200,0.3,8192
93,93,0.44508800000767224,9.0,18894.0,200,0.3,8192
94,94,0.4494133999978658,9.0,19095.0,200,0.3,8192
95,95,0.45378310000523925,9.0,19296.0,200,0.3,8192
96,96,0.4589243000082206,9.0,19497.0,200,0.3,8192
97,97,0.4633330999931786,9.0,19698.0,200,0.3,8192
98,98,0.46784279998973943,9.0,19899.0,200,0.3,8192
99,99,0.47282429999904707,9.0,20100.0,200,0.3,8192
100,100,0.4772279000026174,9.0,20301.0,200,0.3,8192
101,101,0.4829715999949258,9.0,20502.0,200,0.3,8192
102,102,0.4884740999841597,9.0,20703.0,200,0.3,8192
103,103,0.49435079999966547,9.0,20904.0,200,0.3,8192
104,104,0.4998823000059929,9.0,21105.0,200,0.3,8192
105,105,0.5052507999935187,9.0,21306.0,200,0.3,8192
106,106,0.5110260999936145,9.0,21507.0,200,0.3,8192
107,107,0.5158293999847956,9.0,21708.0,200,0.3,8192
108,108,0.5219923999975435,9.0,21909.0,200,0.3,8192
109,109,0.5265991000051145,9.0,22110.0,200,0.3,8192
110,110,0.5312211999844294,9.0,22311.0,200,0.3,8192
111,111,0.5366307999938726,9.0,22512.0,200,0.3,8192
112,112,0.5412497000070289,9.0,22713.0,200,0.3,8192
113,113,0.5458077999937814,9.0,22914.0,200,0.3,8192
114,114,0.5512157999910414,9.0,23115.0,200,0.3,8192
115,115,0.5556069999875035,9.0,23316.0,200,0.3,8192
116,116,0.5601577000052202,9.0,23517.0,200,0.3,8192
117,117,0.5649035999958869,9.0,23718.0,200,0.3,8192
118,118,0.5741400000115391,9.0,23919.0,200,0.3,8192
119,119,0.5789324000070337,9.0,24120.0,200,0.3,8192
120,120,0.583492900012061,9.0,24321.0,200,0.3,8192
121,121,0.5885580999893136,9.0,24522.0,200,0.3,8192
122,122,0.5930828000127804,9.0,24723.0,200,0.3,8192
123,123,0.5978041999915149,9.0,24924.0,200,0.3,8192
124,124,0.6031301000039093,9.0,25125.0,200,0.3,8192
125,125,0.6076718000113033,9.0,25326.0,200,0.3,8192
126,126,0.6124898999987636,9.0,25527.0,200,0.3,8192
127,127,0.6181370999838691,9.0,25728.0,200,0.3,8192
128,128,0.6227895999909379,9.0,25929.0,200,0.3,8192
129,129,0.6324659000092652,9.0,26130.0,200,0.3,8192
130,130,0.6372694000019692,9.0,26331.0,200,0.3,8192
131,131,0.6427065999887418,9.0,26532.0,200,0.3,8192
132,132,0.6476271999999881,9.0,26733.0,200,0.3,8192
133,133,0.6524522000108846,9.0,26934.0,200,0.3,8192
134,134,0.65724629999022,9.0,27135.0,200,0.3,8192
135,135,0.6619004000094719,9.0,27336.0,200,0.3,8192
136,136,0.6666374999913387,9.0,27537.0,200,0.3,8192
137,137,0.6713000999880023,9.0,27738.0,200,0.3,8192
138,138,0.675959399988642,9.0,27939.0,200,0.3,8192
139,139,0.6806450999865774,9.0,28140.0,200,0.3,8192
140,140,0.685341000003973,9.0,28341.0,200,0.3,8192
141,141,0.6900175999908242,9.0,28542.0,200,0.3,8192
142,142,0.6950395999883767,9.0,28743.0,200,0.3,8192
143,143,0.6997540000011213,9.0,28944.0,200,0.3,8192
144,144,0.704483599984087,9.0,29145.0,200,0.3,8192
145,145,0.709159499994712,9.0,29346.0,200,0.3,8192
146,146,0.7138093000103254,9.0,29547.0,200,0.3,8192
147,147,0.7184149000095204,9.0,29748.0,200,0.3,8192
148,148,0.7235194999957457,9.0,29949.0,200,0.3,8192
149,149,0.7282714000029955,9.0,30150.0,200,0.3,8192
150,150,0.7331339000083972,9.0,30351.0,200,0.3,8192
151,151,0.7380965999909677,9.0,30552.0,200,0.3,8192
152,152,0.7430851999961305,9.0,30753.0,200,0.3,8192
153,153,0.7479043999919668,9.0,30954.0,200,0.3,8192
154,154,0.7527490000065882,9.0,31155.0,200,0.3,8192
155,155,0.7573591000109445,9.0,31356.0,200,0.3,8192
156,156,0.7622933000093326,9.0,31557.0,200,0.3,8192
157,157,0.7671006000018679,9.0,31758.0,200,0.3,8192
158,158,0.7719484000117518,9.0,31959.0,200,0.3,8192
159,159,0.7771171999920625,9.0,32160.0,200,0.3,8192
160,160,0.7820671999943443,9.0,32361.0,200,0.3,8192
161,161,0.7868325999879744,9.0,32562.0,200,0.3,8192
162,162,0.7915451999870129,9.0,32763.0,200,0.3,8192
163,163,0.7961628999910317,9.0,32964.0,200,0.3,8192
164,164,0.8008843999996316,9.0,33165.0,200,0.3,8192
165,165,0.8055180000083055,9.0,33366.0,200,0.3,8192
166,166,0.8101120000064839,9.0,33567.0,200,0.3,8192
167,167,0.8151668999926187,9.0,33768.0,200,0.3,8192
168,168,0.8197664000035729,9.0,33969.0,200,0.3,8192
169,169,0.8243239999865182,9.0,34170.0,200,0.3,8192
170,170,0.8295160999987274,9.0,34371.0,200,0.3,8192
171,171,0.8341115000075661,9.0,34572.0,200,0.3,8192
172,172,0.838685800001258,9.0,34773.0,200,0.3,8192
173,173,0.8435949999839067,9.0,34974.0,200,0.3,8192
