,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,0.0,200,0.0018726999987848103,"[1, 0, 0, 1, 1]",200,0.3,8192
1,1,9.0,402,0.008124299987684935,"[0, 1, 1, 1, 0]",200,0.3,8192
2,2,9.0,603,0.014355799998156726,"[0, 1, 1, 1, 0]",200,0.3,8192
3,4,9.0,1005,0.025158300006296486,"[0, 1, 1, 1, 0]",200,0.3,8192
4,8,9.0,1809,0.04560219999984838,"[0, 1, 1, 1, 0]",200,0.3,8192
5,16,9.0,3417,0.08410720000392757,"[0, 1, 1, 1, 0]",200,0.3,8192
6,32,9.0,6633,0.16047810000600293,"[0, 1, 1, 1, 0]",200,0.3,8192
7,64,9.0,13065,0.3092305999889504,"[0, 1, 1, 1, 0]",200,0.3,8192
8,128,9.0,25929,0.6227895999909379,"[0, 1, 1, 1, 0]",200,0.3,8192
9,256,9.0,51657,1.2316002000006847,"[0, 1, 1, 1, 0]",200,0.3,8192
10,512,9.0,103113,2.436035799997626,"[0, 1, 1, 1, 0]",200,0.3,8192
11,1024,9.0,201402,4.860621800005902,"[0, 1, 1, 1, 0]",200,0.3,8192
12,2048,9.0,201402,4.860621800005902,"[0, 1, 1, 1, 0]",200,0.3,8192
13,4096,9.0,201402,4.860621800005902,"[0, 1, 1, 1, 0]",200,0.3,8192
14,8192,9.0,201402,4.860621800005902,"[0, 1, 1, 1, 0]",200,0.3,8192
