,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0019319999846629798,0.0,200.0,True,200,0.2,8192
1,1,0.0063479999953415245,9.0,402.0,True,200,0.2,8192
2,2,0.010042799985967577,9.0,603.0,True,200,0.2,8192
3,3,0.013739199988776818,9.0,804.0,True,200,0.2,8192
4,4,0.01573590000043623,9.0,1005.0,True,200,0.2,8192
5,5,0.019425700011197478,9.0,1206.0,True,200,0.2,8192
6,6,0.0213928000011947,9.0,1407.0,True,200,0.2,8192
7,7,0.023702999984379858,9.0,1608.0,True,200,0.2,8192
8,8,0.02567309999722056,9.0,1809.0,True,200,0.2,8192
9,9,0.02952549999463372,9.0,2010.0,True,200,0.2,8192
10,10,0.03150909999385476,9.0,2211.0,True,200,0.2,8192
11,11,0.033430300012696534,9.0,2412.0,True,200,0.2,8192
12,12,0.03545220001251437,9.0,2613.0,True,200,0.2,8192
13,13,0.03759679998620413,9.0,2814.0,True,200,0.2,8192
14,14,0.03957560000708327,9.0,3015.0,True,200,0.2,8192
15,15,0.041595499991672114,9.0,3216.0,True,200,0.2,8192
16,16,0.04353890000493266,9.0,3417.0,True,200,0.2,8192
17,17,0.04745159999583848,9.0,3618.0,True,200,0.2,8192
18,18,0.049504199996590614,9.0,3819.0,True,200,0.2,8192
19,19,0.05150689999572933,9.0,4020.0,True,200,0.2,8192
20,20,0.053531199984718114,9.0,4221.0,True,200,0.2,8192
21,21,0.055596499994862825,9.0,4422.0,True,200,0.2,8192
22,22,0.05753709998680279,9.0,4623.0,True,200,0.2,8192
23,23,0.059533199993893504,9.0,4824.0,True,200,0.2,8192
24,24,0.061496400012401864,9.0,5025.0,True,200,0.2,8192
25,25,0.063688700000057,9.0,5226.0,True,200,0.2,8192
26,26,0.06570979999378324,9.0,5427.0,True,200,0.2,8192
27,27,0.06782009999733418,9.0,5628.0,True,200,0.2,8192
28,28,0.06983429999672808,9.0,5829.0,True,200,0.2,8192
29,29,0.07175400000414811,9.0,6030.0,True,200,0.2,8192
30,30,0.07371699999202974,9.0,6231.0,True,200,0.2,8192
31,31,0.07578399998601526,9.0,6432.0,True,200,0.2,8192
32,32,0.07798699999693781,9.0,6633.0,True,200,0.2,8192
33,33,0.08198960000299849,9.0,6834.0,True,200,0.2,8192
34,34,0.08399409998673946,9.0,7035.0,True,200,0.2,8192
35,35,0.08591269998578355,9.0,7236.0,True,200,0.2,8192
36,36,0.08793199999490753,9.0,7437.0,True,200,0.2,8192
37,37,0.08995349999167956,9.0,7638.0,True,200,0.2,8192
38,38,0.09203959998558275,9.0,7839.0,True,200,0.2,8192
39,39,0.09393979999003932,9.0,8040.0,True,200,0.2,8192
40,40,0.09584649998578243,9.0,8241.0,True,200,0.2,8192
41,41,0.0978948000119999,9.0,8442.0,True,200,0.2,8192
42,42,0.09995060000801459,9.0,8643.0,True,200,0.2,8192
43,43,0.10188919998472556,9.0,8844.0,True,200,0.2,8192
44,44,0.10389369999757037,9.0,9045.0,True,200,0.2,8192
45,45,0.10579060000600293,9.0,9246.0,True,200,0.2,8192
46,46,0.10766209999565035,9.0,9447.0,True,200,0.2,8192
47,47,0.1097011000092607,9.0,9648.0,True,200,0.2,8192
48,48,0.11162400001194328,9.0,9849.0,True,200,0.2,8192
49,49,0.1138556000078097,9.0,10050.0,True,200,0.2,8192
50,50,0.11604880000231788,9.0,10251.0,True,200,0.2,8192
51,51,0.11803199999849312,9.0,10452.0,True,200,0.2,8192
52,52,0.11997450000490062,9.0,10653.0,True,200,0.2,8192
53,53,0.12191469999379478,9.0,10854.0,True,200,0.2,8192
54,54,0.12379640000290237,9.0,11055.0,True,200,0.2,8192
55,55,0.12569089999306016,9.0,11256.0,True,200,0.2,8192
56,56,0.1276087999867741,9.0,11457.0,True,200,0.2,8192
57,57,0.1301703999924939,9.0,11658.0,True,200,0.2,8192
58,58,0.13210670000989921,9.0,11859.0,True,200,0.2,8192
59,59,0.13395580000360496,9.0,12060.0,True,200,0.2,8192
60,60,0.13579649999155663,9.0,12261.0,True,200,0.2,8192
61,61,0.13767170000937767,9.0,12462.0,True,200,0.2,8192
