,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0,200,0.0019319999846629798,"[1, 1, 0, 1, 1]",True,200,0.2,8192
1,1,9.0,402,0.0063479999953415245,"[0.0, 1.0, 1.0, 1.0, 0.0]",True,200,0.2,8192
2,2,9.0,603,0.010042799985967577,"[0.0, 1.0, 1.0, 1.0, 0.0]",True,200,0.2,8192
3,4,9.0,1005,0.01573590000043623,"[0.0, 1.0, 1.0, 1.0, 0.0]",True,200,0.2,8192
4,8,9.0,1809,0.02567309999722056,"[0.0, 1.0, 1.0, 1.0, 0.0]",True,200,0.2,8192
5,16,9.0,3417,0.04353890000493266,"[0.0, 1.0, 1.0, 1.0, 0.0]",True,200,0.2,8192
6,32,9.0,6633,0.07798699999693781,"[0.0, 1.0, 1.0, 1.0, 0.0]",True,200,0.2,8192
7,64,9.0,13065,0.14361249998910353,"[0.0, 1.0, 1.0, 1.0, 0.0]",True,200,0.2,8192
8,128,9.0,25929,0.2777238999842666,"[0.0, 1.0, 1.0, 1.0, 0.0]",True,200,0.2,8192
9,256,9.0,51657,0.5451170000014827,"[0.0, 1.0, 1.0, 1.0, 0.0]",True,200,0.2,8192
10,512,9.0,100902,1.045480900007533,"[0.0, 1.0, 1.0, 1.0, 0.0]",True,200,0.2,8192
11,1024,9.0,100902,1.045480900007533,"[0.0, 1.0, 1.0, 1.0, 0.0]",True,200,0.2,8192
12,2048,9.0,100902,1.045480900007533,"[0.0, 1.0, 1.0, 1.0, 0.0]",True,200,0.2,8192
13,4096,9.0,100902,1.045480900007533,"[0.0, 1.0, 1.0, 1.0, 0.0]",True,200,0.2,8192
14,8192,9.0,100902,1.045480900007533,"[0.0, 1.0, 1.0, 1.0, 0.0]",True,200,0.2,8192
