,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,0.0,0,7.489998824894428e-05,"[1, 0, 0, 1, 0]",0,8192,0
1,1,0.0,1,0.0025136999902315438,"[1, 0, 0, 1, 0]",0,8192,0
2,2,0.0,2,0.004037599981529638,"[1, 0, 0, 1, 0]",0,8192,0
3,4,0.0,4,0.005631199979688972,"[1, 0, 0, 1, 0]",0,8192,0
4,8,7.0,10,0.007251699978951365,"[0, 0, 1, 1, 0]",0,8192,0
5,16,9.0,19,0.009127600002102554,"[0, 1, 1, 1, 0]",0,8192,0
6,32,9.0,35,0.010967999987769872,"[0, 1, 1, 1, 0]",0,8192,0
7,64,9.0,67,0.01306329999351874,"[0, 1, 1, 1, 0]",0,8192,0
8,128,9.0,131,0.01664899999741465,"[0, 1, 1, 1, 0]",0,8192,0
9,256,9.0,259,0.02367619998403825,"[0, 1, 1, 1, 0]",0,8192,0
10,512,9.0,515,0.04240330000175163,"[0, 1, 1, 1, 0]",0,8192,0
11,1024,9.0,1012,0.1035453999938909,"[0, 1, 1, 1, 0]",0,8192,0
12,2048,9.0,1012,0.1035453999938909,"[0, 1, 1, 1, 0]",0,8192,0
13,4096,9.0,1012,0.1035453999938909,"[0, 1, 1, 1, 0]",0,8192,0
14,8192,9.0,1012,0.1035453999938909,"[0, 1, 1, 1, 0]",0,8192,0
