,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,0.0,0,5.8600009651854634e-05,"[1, 1, 0, 0, 1]",exponential,250,0.005,0.001,249.99992674999865,250,8192
1,1,0.0,2,0.0018968000076711178,"[1, 0, 0, 0, 1]",exponential,250,0.005,0.001,249.99762901123364,250,8192
2,2,5.0,4,0.0037570999993477017,"[0, 0, 0, 0, 1]",exponential,250,0.005,0.001,249.99530366911242,250,8192
3,4,0.0,8,0.005678099987562746,"[1, 1, 0, 0, 1]",exponential,250,0.005,0.001,249.99290247576715,250,8192
4,8,0.0,16,0.00743609998608008,"[1, 0, 1, 1, 0]",exponential,250,0.005,0.001,249.99070504781395,250,8192
5,16,7.0,31,0.009554199990816414,"[0, 0, 1, 1, 0]",exponential,250,0.005,0.001,249.98805753526548,250,8192
6,32,5.0,63,0.011591799993766472,"[0, 1, 1, 0, 0]",exponential,250,0.005,0.001,249.9855106699054,250,8192
7,64,5.0,127,0.014181400008965284,"[0, 1, 1, 0, 0]",exponential,250,0.005,0.001,249.98227387844926,250,8192
8,128,0.0,255,0.01827709999633953,"[1, 0, 1, 1, 1]",exponential,250,0.005,0.001,249.97715466888647,250,8192
9,256,0.0,510,0.026573499984806404,"[1, 1, 1, 0, 0]",exponential,250,0.005,0.001,249.96678533164282,250,8192
10,512,0.0,1010,0.047870000009424984,"[1, 0, 1, 0, 1]",exponential,250,0.005,0.001,249.94016966046973,250,8192
11,1024,9.0,1870,0.11609419999876991,"[0, 1, 1, 1, 0]",exponential,250,0.005,0.001,249.85492436017594,250,8192
12,2048,5.0,2926,0.34676220000255853,"[0, 0, 0, 0, 1]",exponential,250,0.005,0.001,249.56692279549677,250,8192
13,4096,5.0,2954,0.3634260999970138,"[0, 0, 0, 0, 1]",exponential,250,0.005,0.001,249.5461298705199,250,8192
14,8192,5.0,2954,0.3634260999970138,"[0, 0, 0, 0, 1]",exponential,250,0.005,0.001,249.5461298705199,250,8192
