,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.003374100022483617,4727.52290944433,200.0,200,0.3,8192
1,1,0.011624200007645413,15197.52290944433,402.0,200,0.3,8192
2,2,0.01913630001945421,15197.52290944433,603.0,200,0.3,8192
3,3,0.026660500006983057,17227.52290944433,805.0,200,0.3,8192
4,4,0.032413800014182925,17907.52290944433,1007.0,200,0.3,8192
5,5,0.04002430001855828,17907.52290944433,1208.0,200,0.3,8192
6,6,0.04589440001291223,17907.52290944433,1409.0,200,0.3,8192
7,7,0.051689500018255785,19967.52290944433,1611.0,200,0.3,8192
8,8,0.05776060000061989,19967.52290944433,1812.0,200,0.3,8192
9,9,0.06592830002773553,19967.52290944433,2013.0,200,0.3,8192
10,10,0.071721600019373,20727.52290944433,2215.0,200,0.3,8192
11,11,0.07757340001990087,20727.52290944433,2416.0,200,0.3,8192
12,12,0.08648260001791641,21407.52290944433,2618.0,200,0.3,8192
13,13,0.09237370002665557,22787.52290944433,2820.0,200,0.3,8192
14,14,0.09846210002433509,26297.52290944433,3022.0,200,0.3,8192
15,15,0.10446500001125969,26297.52290944433,3223.0,200,0.3,8192
16,16,0.11030960001517087,26297.52290944433,3424.0,200,0.3,8192
17,17,0.11842960002832115,27667.52290944433,3626.0,200,0.3,8192
18,18,0.12467000001925044,27667.52290944433,3827.0,200,0.3,8192
19,19,0.13100640001357533,27677.52290944433,4029.0,200,0.3,8192
20,20,0.13733230001525953,27677.52290944433,4230.0,200,0.3,8192
21,21,0.14390010002534837,27677.52290944433,4431.0,200,0.3,8192
22,22,0.14972900002612732,27677.52290944433,4632.0,200,0.3,8192
23,23,0.15622990002157167,27677.52290944433,4833.0,200,0.3,8192
24,24,0.162212900002487,30477.52290944433,5035.0,200,0.3,8192
25,25,0.16848670001490973,30477.52290944433,5236.0,200,0.3,8192
26,26,0.17500070002279244,30477.52290944433,5437.0,200,0.3,8192
27,27,0.18167260001064278,31827.52290944433,5639.0,200,0.3,8192
28,28,0.18789520001155324,31827.52290944433,5840.0,200,0.3,8192
29,29,0.1942591000115499,31827.52290944433,6041.0,200,0.3,8192
30,30,0.20044930002768524,31827.52290944433,6242.0,200,0.3,8192
31,31,0.2072947000269778,31827.52290944433,6443.0,200,0.3,8192
32,32,0.21362270001554862,31827.52290944433,6644.0,200,0.3,8192
33,33,0.2233221000060439,31827.52290944433,6845.0,200,0.3,8192
34,34,0.22994570000446402,31827.52290944433,7046.0,200,0.3,8192
35,35,0.23656220000702888,31827.52290944433,7247.0,200,0.3,8192
36,36,0.2430449000094086,32517.52290944433,7449.0,200,0.3,8192
37,37,0.24988610000582412,32517.52290944433,7650.0,200,0.3,8192
38,38,0.25630040001124144,32517.52290944433,7851.0,200,0.3,8192
39,39,0.2629367000190541,32517.52290944433,8052.0,200,0.3,8192
40,40,0.27045140002155676,32517.52290944433,8253.0,200,0.3,8192
41,41,0.27760630002012476,32517.52290944433,8454.0,200,0.3,8192
42,42,0.2847016000014264,32517.52290944433,8655.0,200,0.3,8192
43,43,0.29118100000778213,32517.52290944433,8856.0,200,0.3,8192
44,44,0.29796300001908094,32517.52290944433,9057.0,200,0.3,8192
45,45,0.3079260000085924,32527.52290944433,9259.0,200,0.3,8192
46,46,0.3161121000011917,32527.52290944433,9460.0,200,0.3,8192
47,47,0.3227972000022419,32537.52290944433,9662.0,200,0.3,8192
48,48,0.3311622000182979,34607.52290944433,9864.0,200,0.3,8192
49,49,0.3382125000061933,34607.52290944433,10065.0,200,0.3,8192
50,50,0.3455740000063088,34607.52290944433,10266.0,200,0.3,8192
51,51,0.35294410001370125,34607.52290944433,10467.0,200,0.3,8192
52,52,0.35994820002815686,34607.52290944433,10668.0,200,0.3,8192
53,53,0.36694510001689196,34607.52290944433,10869.0,200,0.3,8192
54,54,0.3738751000200864,34617.52290944433,11071.0,200,0.3,8192
55,55,0.3805992000270635,34617.52290944433,11272.0,200,0.3,8192
56,56,0.38732960002380423,34617.52290944433,11473.0,200,0.3,8192
57,57,0.39485730000888,34617.52290944433,11674.0,200,0.3,8192
58,58,0.4017473000276368,34617.52290944433,11875.0,200,0.3,8192
59,59,0.4089346000109799,34617.52290944433,12076.0,200,0.3,8192
60,60,0.41583820001687855,34627.52290944433,12278.0,200,0.3,8192
61,61,0.4232406000082847,34627.52290944433,12479.0,200,0.3,8192
62,62,0.4301786000141874,34627.52290944433,12680.0,200,0.3,8192
63,63,0.437350400025025,34637.52290944433,12882.0,200,0.3,8192
64,64,0.4440090000280179,34637.52290944433,13083.0,200,0.3,8192
65,65,0.45372210000641644,34637.52290944433,13284.0,200,0.3,8192
66,66,0.46053990002837963,34637.52290944433,13485.0,200,0.3,8192
67,67,0.4674352000001818,34637.52290944433,13686.0,200,0.3,8192
68,68,0.4740542000217829,34637.52290944433,13887.0,200,0.3,8192
69,69,0.48051800002576783,34637.52290944433,14088.0,200,0.3,8192
70,70,0.4875655000214465,34637.52290944433,14289.0,200,0.3,8192
71,71,0.4940090000163764,34647.52290944433,14491.0,200,0.3,8192
72,72,0.5010937000042759,34647.52290944433,14692.0,200,0.3,8192
73,73,0.5080224000266753,34647.52290944433,14893.0,200,0.3,8192
74,74,0.515094800008228,34647.52290944433,15094.0,200,0.3,8192
75,75,0.5252268000040203,34657.52290944433,15296.0,200,0.3,8192
76,76,0.5322488000092562,34657.52290944433,15497.0,200,0.3,8192
77,77,0.5388041000114754,34657.52290944433,15698.0,200,0.3,8192
78,78,0.5458291000104509,34667.52290944433,15900.0,200,0.3,8192
79,79,0.5548659000196494,34667.52290944433,16101.0,200,0.3,8192
80,80,0.5616453000111505,34667.52290944433,16302.0,200,0.3,8192
81,81,0.5685463000263553,34738.76145472217,16504.0,200,0.3,8192
82,82,0.5757054000278004,34738.76145472217,16705.0,200,0.3,8192
83,83,0.5823356000182685,34748.76145472217,16907.0,200,0.3,8192
84,84,0.5887970000039786,34748.76145472217,17108.0,200,0.3,8192
85,85,0.5953886000206694,34748.76145472217,17309.0,200,0.3,8192
86,86,0.6018096000188962,34748.76145472217,17510.0,200,0.3,8192
87,87,0.6084952000237536,34758.76145472217,17712.0,200,0.3,8192
88,88,0.6148870000033639,34758.76145472217,17913.0,200,0.3,8192
89,89,0.6215482000261545,34758.76145472217,18114.0,200,0.3,8192
90,90,0.6283224000071641,34758.76145472217,18315.0,200,0.3,8192
91,91,0.6350059000251349,34758.76145472217,18516.0,200,0.3,8192
92,92,0.6415255000174511,34758.76145472217,18717.0,200,0.3,8192
93,93,0.6480731000192463,34768.76145472217,18919.0,200,0.3,8192
94,94,0.6545935000176542,34768.76145472217,19120.0,200,0.3,8192
95,95,0.661308500013547,34768.76145472217,19321.0,200,0.3,8192
96,96,0.668658200011123,34768.76145472217,19522.0,200,0.3,8192
97,97,0.6753950000274926,34768.76145472217,19723.0,200,0.3,8192
98,98,0.6819423000270035,34768.76145472217,19924.0,200,0.3,8192
99,99,0.688728600012837,34778.76145472217,20126.0,200,0.3,8192
100,100,0.6951729000138585,34778.76145472217,20327.0,200,0.3,8192
101,101,0.7021211000101175,34778.76145472217,20528.0,200,0.3,8192
102,102,0.7087414000125136,34778.76145472217,20729.0,200,0.3,8192
103,103,0.7154750000045169,34778.76145472217,20930.0,200,0.3,8192
104,104,0.7223271000257228,34798.76145472217,21132.0,200,0.3,8192
105,105,0.7292954000004102,34798.76145472217,21333.0,200,0.3,8192
106,106,0.7393844000180252,34798.76145472217,21534.0,200,0.3,8192
107,107,0.7462064000137616,34798.76145472217,21735.0,200,0.3,8192
108,108,0.7529303000192158,34798.76145472217,21936.0,200,0.3,8192
109,109,0.7594734000158496,34798.76145472217,22137.0,200,0.3,8192
110,110,0.7666381000017282,34798.76145472217,22338.0,200,0.3,8192
111,111,0.7737268000200856,34798.76145472217,22539.0,200,0.3,8192
112,112,0.7811631000076886,34798.76145472217,22740.0,200,0.3,8192
113,113,0.7877124000224285,34798.76145472217,22941.0,200,0.3,8192
114,114,0.7947385000006761,34798.76145472217,23142.0,200,0.3,8192
115,115,0.801228100026492,34798.76145472217,23343.0,200,0.3,8192
116,116,0.8081980000133626,34808.76145472217,23545.0,200,0.3,8192
117,117,0.8147943000076339,34808.76145472217,23746.0,200,0.3,8192
118,118,0.8215836000163108,34808.76145472217,23947.0,200,0.3,8192
119,119,0.828469900006894,34808.76145472217,24148.0,200,0.3,8192
120,120,0.8353185000014491,34808.76145472217,24349.0,200,0.3,8192
121,121,0.8421215000271332,34818.76145472217,24551.0,200,0.3,8192
122,122,0.8490482000051998,34818.76145472217,24752.0,200,0.3,8192
123,123,0.8562345000100322,34818.76145472217,24953.0,200,0.3,8192
124,124,0.8631516000023112,34818.76145472217,25154.0,200,0.3,8192
125,125,0.8701009000069462,34818.76145472217,25355.0,200,0.3,8192
126,126,0.8767924000276253,34828.76145472217,25557.0,200,0.3,8192
127,127,0.8833898000011686,34828.76145472217,25758.0,200,0.3,8192
128,128,0.8900815000233706,34828.76145472217,25959.0,200,0.3,8192
129,129,0.8994598000135738,34828.76145472217,26160.0,200,0.3,8192
130,130,0.9062111000239383,34838.76145472217,26362.0,200,0.3,8192
131,131,0.9129641000181437,34838.76145472217,26563.0,200,0.3,8192
132,132,0.919697500008624,34838.76145472217,26764.0,200,0.3,8192
133,133,0.9264931000070646,34874.38072736108,26966.0,200,0.3,8192
134,134,0.9333707000187133,34874.38072736108,27167.0,200,0.3,8192
135,135,0.9401016000192612,34874.38072736108,27368.0,200,0.3,8192
136,136,0.9466436000075191,34874.38072736108,27569.0,200,0.3,8192
137,137,0.9565691000025254,34874.38072736108,27770.0,200,0.3,8192
138,138,0.9643242000020109,34874.38072736108,27971.0,200,0.3,8192
139,139,0.9708697000169195,34884.38072736108,28173.0,200,0.3,8192
140,140,0.9776670000283048,34884.38072736108,28374.0,200,0.3,8192
141,141,0.9851489000138827,34884.38072736108,28575.0,200,0.3,8192
142,142,0.9949693000235129,34884.38072736108,28776.0,200,0.3,8192
143,143,1.001975900027901,34894.38072736108,28978.0,200,0.3,8192
144,144,1.0119793000048958,34894.38072736108,29179.0,200,0.3,8192
145,145,1.0200531000155024,34894.38072736108,29380.0,200,0.3,8192
146,146,1.0326422000071034,34894.38072736108,29581.0,200,0.3,8192
147,147,1.0405686000012793,34894.38072736108,29782.0,200,0.3,8192
148,148,1.0480195000127424,34904.38072736108,29984.0,200,0.3,8192
149,149,1.054753200005507,34904.38072736108,30185.0,200,0.3,8192
150,150,1.0617292000097223,34914.38072736108,30387.0,200,0.3,8192
151,151,1.0683454000100028,34914.38072736108,30588.0,200,0.3,8192
152,152,1.0749516000214498,34914.38072736108,30789.0,200,0.3,8192
153,153,1.0815527000231668,34914.38072736108,30990.0,200,0.3,8192
154,154,1.088112200028263,34914.38072736108,31191.0,200,0.3,8192
155,155,1.0946259000047576,34914.38072736108,31392.0,200,0.3,8192
156,156,1.1013087000173982,34914.38072736108,31593.0,200,0.3,8192
157,157,1.107943900016835,34914.38072736108,31794.0,200,0.3,8192
158,158,1.1150680000137072,34914.38072736108,31995.0,200,0.3,8192
159,159,1.1222046000184491,34914.38072736108,32196.0,200,0.3,8192
160,160,1.1292992000235245,34914.38072736108,32397.0,200,0.3,8192
161,161,1.13611440002569,34914.38072736108,32598.0,200,0.3,8192
162,162,1.1428987000253983,34924.38072736108,32800.0,200,0.3,8192
163,163,1.149537400022382,34924.38072736108,33001.0,200,0.3,8192
164,164,1.156472800008487,34924.38072736108,33202.0,200,0.3,8192
165,165,1.1629539000277873,34924.38072736108,33403.0,200,0.3,8192
166,166,1.171200000011595,34924.38072736108,33604.0,200,0.3,8192
167,167,1.1779483999998774,34924.38072736108,33805.0,200,0.3,8192
168,168,1.1846740000182763,34924.38072736108,34006.0,200,0.3,8192
169,169,1.1916504000255372,34924.38072736108,34207.0,200,0.3,8192
