,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,0.00027570000384002924,6777.52290944433,0.0,0,8192,0
1,1,0.0026325999933760613,6777.52290944433,1.0,0,8192,0
2,2,0.00422989999060519,10937.52290944433,3.0,0,8192,0
3,3,0.005821800004923716,10937.52290944433,4.0,0,8192,0
4,4,0.005887399980565533,10937.52290944433,5.0,0,8192,0
5,5,0.007572100003017113,10947.52290944433,7.0,0,8192,0
6,6,0.007604299986269325,10947.52290944433,8.0,0,8192,0
7,7,0.007639699993887916,10957.52290944433,10.0,0,8192,0
8,8,0.007659499999135733,10957.52290944433,11.0,0,8192,0
9,9,0.009195799997542053,10957.52290944433,12.0,0,8192,0
10,10,0.009239000006346032,10957.52290944433,13.0,0,8192,0
11,11,0.00927919999230653,10967.52290944433,15.0,0,8192,0
12,12,0.009301199985202402,10967.52290944433,16.0,0,8192,0
13,13,0.009322600002633408,10967.52290944433,17.0,0,8192,0
14,14,0.00934299998334609,10967.52290944433,18.0,0,8192,0
15,15,0.009364300000015646,10967.52290944433,19.0,0,8192,0
16,16,0.009386899997480214,10967.52290944433,20.0,0,8192,0
17,17,0.010995599994203076,10967.52290944433,21.0,0,8192,0
18,18,0.011041299992939457,10967.52290944433,22.0,0,8192,0
19,19,0.01106610000715591,10967.52290944433,23.0,0,8192,0
20,20,0.011091599997598678,10967.52290944433,24.0,0,8192,0
21,21,0.01112239999929443,10967.52290944433,25.0,0,8192,0
22,22,0.011147699988214299,10967.52290944433,26.0,0,8192,0
23,23,0.011170899990247563,10967.52290944433,27.0,0,8192,0
24,24,0.011192999983904883,10967.52290944433,28.0,0,8192,0
25,25,0.011215399979846552,10967.52290944433,29.0,0,8192,0
26,26,0.011237300001084805,10967.52290944433,30.0,0,8192,0
27,27,0.011262299987720326,10967.52290944433,31.0,0,8192,0
28,28,0.011284899985184893,10967.52290944433,32.0,0,8192,0
29,29,0.01130600000033155,10967.52290944433,33.0,0,8192,0
30,30,0.011327999993227422,10967.52290944433,34.0,0,8192,0
31,31,0.011349899985361844,10967.52290944433,35.0,0,8192,0
32,32,0.011372499982826412,10967.52290944433,36.0,0,8192,0
33,33,0.013058199983788654,10967.52290944433,37.0,0,8192,0
34,34,0.013098399998852983,10967.52290944433,38.0,0,8192,0
35,35,0.013126599980751052,10967.52290944433,39.0,0,8192,0
36,36,0.01315230000182055,10967.52290944433,40.0,0,8192,0
37,37,0.013176799984648824,10967.52290944433,41.0,0,8192,0
38,38,0.013201599998865277,10967.52290944433,42.0,0,8192,0
39,39,0.013227399991592392,10967.52290944433,43.0,0,8192,0
40,40,0.013252699980512261,10967.52290944433,44.0,0,8192,0
41,41,0.013278900005389005,10967.52290944433,45.0,0,8192,0
42,42,0.01330469999811612,10967.52290944433,46.0,0,8192,0
43,43,0.013330399990081787,10967.52290944433,47.0,0,8192,0
44,44,0.013364899990847334,10967.52290944433,48.0,0,8192,0
45,45,0.013395299989497289,10967.52290944433,49.0,0,8192,0
46,46,0.013422199990600348,10967.52290944433,50.0,0,8192,0
47,47,0.01344859998789616,10967.52290944433,51.0,0,8192,0
48,48,0.013488299999153242,10977.52290944433,53.0,0,8192,0
49,49,0.01351530000101775,10977.52290944433,54.0,0,8192,0
50,50,0.013542100001359358,10977.52290944433,55.0,0,8192,0
51,51,0.013569500006269664,10977.52290944433,56.0,0,8192,0
52,52,0.01359669998055324,10977.52290944433,57.0,0,8192,0
53,53,0.013623899983940646,10977.52290944433,58.0,0,8192,0
54,54,0.013650999986566603,10977.52290944433,59.0,0,8192,0
55,55,0.013691900006961077,10987.52290944433,61.0,0,8192,0
56,56,0.013722999981837347,10987.52290944433,62.0,0,8192,0
57,57,0.01375680000637658,10987.52290944433,63.0,0,8192,0
58,58,0.013800399989122525,10997.52290944433,65.0,0,8192,0
59,59,0.013828199997078627,10997.52290944433,66.0,0,8192,0
60,60,0.013856699981261045,10997.52290944433,67.0,0,8192,0
61,61,0.013884699990740046,10997.52290944433,68.0,0,8192,0
62,62,0.013913000002503395,10997.52290944433,69.0,0,8192,0
63,63,0.013940999982878566,10997.52290944433,70.0,0,8192,0
64,64,0.01398339998559095,11687.52290944433,72.0,0,8192,0
65,65,0.015982799988705665,11687.52290944433,73.0,0,8192,0
66,66,0.01603100000647828,11687.52290944433,74.0,0,8192,0
67,67,0.01606480000191368,11687.52290944433,75.0,0,8192,0
68,68,0.016093699989141896,11687.52290944433,76.0,0,8192,0
69,69,0.016122100001666695,11687.52290944433,77.0,0,8192,0
70,70,0.01615109998965636,11687.52290944433,78.0,0,8192,0
71,71,0.016179400001419708,11687.52290944433,79.0,0,8192,0
72,72,0.0162205999949947,11697.52290944433,81.0,0,8192,0
73,73,0.01624870000523515,11697.52290944433,82.0,0,8192,0
74,74,0.016277499991701916,11697.52290944433,83.0,0,8192,0
75,75,0.01632429999881424,14457.52290944433,85.0,0,8192,0
76,76,0.01635520000127144,14457.52290944433,86.0,0,8192,0
77,77,0.01640719998977147,15167.52290944433,88.0,0,8192,0
78,78,0.01643859999603592,15167.52290944433,89.0,0,8192,0
79,79,0.016467399982502684,15167.52290944433,90.0,0,8192,0
80,80,0.016497400007210672,15167.52290944433,91.0,0,8192,0
81,81,0.01652849998208694,15167.52290944433,92.0,0,8192,0
82,82,0.01655989998835139,15167.52290944433,93.0,0,8192,0
83,83,0.01660599999013357,17267.52290944433,95.0,0,8192,0
84,84,0.016635699983453378,17267.52290944433,96.0,0,8192,0
85,85,0.01666829999885522,17267.52290944433,97.0,0,8192,0
86,86,0.016701199987437576,17267.52290944433,98.0,0,8192,0
87,87,0.016732099989894778,17267.52290944433,99.0,0,8192,0
88,88,0.016772300004959106,17267.52290944433,100.0,0,8192,0
89,89,0.016804799990495667,17267.52290944433,101.0,0,8192,0
90,90,0.016836399998283014,17267.52290944433,102.0,0,8192,0
91,91,0.01686669999617152,17267.52290944433,103.0,0,8192,0
92,92,0.016898200003197417,17267.52290944433,104.0,0,8192,0
93,93,0.016930699988733977,17267.52290944433,105.0,0,8192,0
94,94,0.016963400004897267,17267.52290944433,106.0,0,8192,0
95,95,0.016996399994241074,17267.52290944433,107.0,0,8192,0
96,96,0.01704429998062551,17277.52290944433,109.0,0,8192,0
97,97,0.017077900003641844,17277.52290944433,110.0,0,8192,0
98,98,0.017116600007284433,17277.52290944433,111.0,0,8192,0
99,99,0.01715519998106174,17277.52290944433,112.0,0,8192,0
100,100,0.01719089999096468,17277.52290944433,113.0,0,8192,0
101,101,0.01722509998944588,17277.52290944433,114.0,0,8192,0
102,102,0.017260199994780123,17277.52290944433,115.0,0,8192,0
103,103,0.01729459999478422,17277.52290944433,116.0,0,8192,0
104,104,0.017328199988696724,17277.52290944433,117.0,0,8192,0
105,105,0.017364100000122562,17277.52290944433,118.0,0,8192,0
106,106,0.01739829999860376,17277.52290944433,119.0,0,8192,0
107,107,0.017433700006222352,17277.52290944433,120.0,0,8192,0
108,108,0.017473199986852705,17277.52290944433,121.0,0,8192,0
109,109,0.017510699981357902,17277.52290944433,122.0,0,8192,0
110,110,0.017545499984407797,17277.52290944433,123.0,0,8192,0
111,111,0.017579699982888997,17277.52290944433,124.0,0,8192,0
112,112,0.017629199981456622,17287.52290944433,126.0,0,8192,0
113,113,0.01766339997993782,17287.52290944433,127.0,0,8192,0
114,114,0.017698099982226267,17287.52290944433,128.0,0,8192,0
115,115,0.017733799992129207,17287.52290944433,129.0,0,8192,0
116,116,0.017769600002793595,17287.52290944433,130.0,0,8192,0
117,117,0.017805299983592704,17287.52290944433,131.0,0,8192,0
118,118,0.017846200003987178,17287.52290944433,132.0,0,8192,0
119,119,0.017885599983856082,17287.52290944433,133.0,0,8192,0
120,120,0.017922500002896413,17287.52290944433,134.0,0,8192,0
121,121,0.017960400000447407,17287.52290944433,135.0,0,8192,0
122,122,0.01799570000730455,17287.52290944433,136.0,0,8192,0
123,123,0.018048099998850375,17297.52290944433,138.0,0,8192,0
124,124,0.01808579999487847,17297.52290944433,139.0,0,8192,0
125,125,0.01813769998261705,17307.52290944433,141.0,0,8192,0
126,126,0.018176699988543987,17307.52290944433,142.0,0,8192,0
127,127,0.01822070000343956,17307.52290944433,143.0,0,8192,0
128,128,0.018261599994730204,17307.52290944433,144.0,0,8192,0
129,129,0.02052339998772368,17307.52290944433,145.0,0,8192,0
130,130,0.020582900004228577,17307.52290944433,146.0,0,8192,0
131,131,0.020624900003895164,17307.52290944433,147.0,0,8192,0
132,132,0.020665699994424358,17307.52290944433,148.0,0,8192,0
133,133,0.020705899980384856,17307.52290944433,149.0,0,8192,0
134,134,0.020743500004755333,17307.52290944433,150.0,0,8192,0
135,135,0.02078259998233989,17307.52290944433,151.0,0,8192,0
136,136,0.020825999992666766,17307.52290944433,152.0,0,8192,0
137,137,0.02086980000603944,17307.52290944433,153.0,0,8192,0
138,138,0.020910399995045736,17307.52290944433,154.0,0,8192,0
139,139,0.020948899997165427,17307.52290944433,155.0,0,8192,0
140,140,0.020989299984648824,17307.52290944433,156.0,0,8192,0
141,141,0.02104490000056103,17317.52290944433,158.0,0,8192,0
142,142,0.021100499987369403,17327.52290944433,160.0,0,8192,0
143,143,0.02115280000725761,17327.52290944433,161.0,0,8192,0
144,144,0.0211970999953337,17327.52290944433,162.0,0,8192,0
145,145,0.021245299984002486,17327.52290944433,163.0,0,8192,0
146,146,0.02128600000287406,17327.52290944433,164.0,0,8192,0
147,147,0.021326599991880357,17327.52290944433,165.0,0,8192,0
148,148,0.0213678999862168,17327.52290944433,166.0,0,8192,0
149,149,0.021417599986307323,17327.52290944433,167.0,0,8192,0
150,150,0.021469100000103936,17327.52290944433,168.0,0,8192,0
151,151,0.021512000006623566,17327.52290944433,169.0,0,8192,0
152,152,0.02155449998099357,17327.52290944433,170.0,0,8192,0
153,153,0.021601399988867342,17327.52290944433,171.0,0,8192,0
154,154,0.02166130000841804,17337.52290944433,173.0,0,8192,0
155,155,0.021704699989641085,17337.52290944433,174.0,0,8192,0
156,156,0.021763800003100187,21497.52290944433,176.0,0,8192,0
157,157,0.021808599994983524,21497.52290944433,177.0,0,8192,0
158,158,0.021852499980013818,21497.52290944433,178.0,0,8192,0
159,159,0.02189659999567084,21497.52290944433,179.0,0,8192,0
160,160,0.021959699981380254,24297.52290944433,181.0,0,8192,0
161,161,0.022008300002198666,24297.52290944433,182.0,0,8192,0
162,162,0.0220536999986507,24297.52290944433,183.0,0,8192,0
163,163,0.02209499999298714,24297.52290944433,184.0,0,8192,0
164,164,0.022140199987916276,24297.52290944433,185.0,0,8192,0
165,165,0.022183199995197356,24297.52290944433,186.0,0,8192,0
166,166,0.02222869999241084,24297.52290944433,187.0,0,8192,0
167,167,0.022271900001214817,24297.52290944433,188.0,0,8192,0
168,168,0.022319399984553456,24297.52290944433,189.0,0,8192,0
169,169,0.022367400000803173,24297.52290944433,190.0,0,8192,0
170,170,0.022414300008676946,24297.52290944433,191.0,0,8192,0
171,171,0.022464499983470887,24297.52290944433,192.0,0,8192,0
172,172,0.022510699986014515,24297.52290944433,193.0,0,8192,0
173,173,0.022558299999218434,24297.52290944433,194.0,0,8192,0
174,174,0.02260460000252351,24297.52290944433,195.0,0,8192,0
175,175,0.022711900004651397,24297.52290944433,196.0,0,8192,0
176,176,0.022786799992900342,24297.52290944433,197.0,0,8192,0
177,177,0.022839599987491965,24297.52290944433,198.0,0,8192,0
178,178,0.022886799997650087,24297.52290944433,199.0,0,8192,0
179,179,0.022937500005355105,24297.52290944433,200.0,0,8192,0
180,180,0.022984899987932295,24297.52290944433,201.0,0,8192,0
181,181,0.02302870000130497,24297.52290944433,202.0,0,8192,0
182,182,0.02307279998785816,24297.52290944433,203.0,0,8192,0
183,183,0.023117200005799532,24297.52290944433,204.0,0,8192,0
184,184,0.023162800003774464,24297.52290944433,205.0,0,8192,0
185,185,0.023214899993035942,24297.52290944433,206.0,0,8192,0
186,186,0.023263599985511974,24297.52290944433,207.0,0,8192,0
187,187,0.023308999981964007,24297.52290944433,208.0,0,8192,0
188,188,0.02335750000202097,24297.52290944433,209.0,0,8192,0
189,189,0.023406199994497,24297.52290944433,210.0,0,8192,0
190,190,0.023451699991710484,24297.52290944433,211.0,0,8192,0
191,191,0.023498800001107156,24297.52290944433,212.0,0,8192,0
192,192,0.023558099986985326,24297.52290944433,213.0,0,8192,0
193,193,0.023607099981745705,24297.52290944433,214.0,0,8192,0
194,194,0.023656999983359128,24297.52290944433,215.0,0,8192,0
195,195,0.023705100000370294,24297.52290944433,216.0,0,8192,0
196,196,0.02375309998751618,24297.52290944433,217.0,0,8192,0
197,197,0.023800900002242997,24297.52290944433,218.0,0,8192,0
198,198,0.023848599987104535,24297.52290944433,219.0,0,8192,0
199,199,0.023916400008602068,24307.52290944433,221.0,0,8192,0
200,200,0.023965700005646795,24307.52290944433,222.0,0,8192,0
201,201,0.02401229998213239,24307.52290944433,223.0,0,8192,0
202,202,0.024207599984947592,24307.52290944433,224.0,0,8192,0
203,203,0.02425980000407435,24307.52290944433,225.0,0,8192,0
204,204,0.024308099993504584,24307.52290944433,226.0,0,8192,0
205,205,0.024359800008824095,24307.52290944433,227.0,0,8192,0
206,206,0.024411899998085573,24307.52290944433,228.0,0,8192,0
207,207,0.024461799999698997,24307.52290944433,229.0,0,8192,0
208,208,0.02450870000757277,24307.52290944433,230.0,0,8192,0
209,209,0.024555499985581264,24307.52290944433,231.0,0,8192,0
210,210,0.024601599987363443,24307.52290944433,232.0,0,8192,0
211,211,0.024650399980600923,24307.52290944433,233.0,0,8192,0
212,212,0.024696299980860204,24307.52290944433,234.0,0,8192,0
