,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,0.00026020000223070383,8867.52290944433,0.0,250,8192
1,1,0.002294300007633865,8877.52290944433,2.0,250,8192
2,2,0.003867999999783933,8877.52290944433,4.0,250,8192
3,3,0.005513899988727644,8877.52290944433,6.0,250,8192
4,4,0.005560099991271272,8877.52290944433,8.0,250,8192
5,5,0.007135599997127429,8877.52290944433,10.0,250,8192
6,6,0.007182500005001202,8877.52290944433,12.0,250,8192
7,7,0.007218999991891906,8877.52290944433,14.0,250,8192
8,8,0.007252900017192587,8877.52290944433,16.0,250,8192
9,9,0.00888810001197271,8877.52290944433,18.0,250,8192
10,10,0.008940500003518537,8867.52290944433,20.0,250,8192
11,11,0.008979400008684024,8867.52290944433,21.0,250,8192
12,12,0.009018300013849512,8867.52290944433,23.0,250,8192
13,13,0.009056800015969202,8867.52290944433,25.0,250,8192
14,14,0.009093800006667152,8867.52290944433,27.0,250,8192
15,15,0.009134299994911999,8867.52290944433,29.0,250,8192
16,16,0.009157499996945262,8867.52290944433,30.0,250,8192
17,17,0.011303400009637699,8867.52290944433,31.0,250,8192
18,18,0.011362699995515868,8867.52290944433,33.0,250,8192
19,19,0.011411100014811382,9567.52290944433,35.0,250,8192
20,20,0.01145120000001043,9567.52290944433,37.0,250,8192
21,21,0.011490500008221716,9567.52290944433,39.0,250,8192
22,22,0.011527800001204014,13067.52290944433,41.0,250,8192
23,23,0.011552400013897568,13067.52290944433,42.0,250,8192
24,24,0.011591599992243573,13057.52290944433,44.0,250,8192
25,25,0.011631400004262105,13057.52290944433,46.0,250,8192
26,26,0.011655400012386963,13057.52290944433,47.0,250,8192
27,27,0.011695199995301664,16497.52290944433,49.0,250,8192
28,28,0.011736100015696138,16497.52290944433,51.0,250,8192
29,29,0.011760800000047311,16497.52290944433,52.0,250,8192
30,30,0.011784900008933619,16497.52290944433,53.0,250,8192
31,31,0.01182620000327006,16497.52290944433,55.0,250,8192
32,32,0.011850600014440715,16497.52290944433,56.0,250,8192
33,33,0.013980099989566952,16497.52290944433,58.0,250,8192
34,34,0.014043600007425994,16497.52290944433,60.0,250,8192
35,35,0.014087299990933388,17877.52290944433,62.0,250,8192
36,36,0.014114499994320795,17877.52290944433,63.0,250,8192
37,37,0.014158700010739267,17887.52290944433,65.0,250,8192
38,38,0.014200700010405853,18577.52290944433,67.0,250,8192
39,39,0.014228699990781024,18577.52290944433,68.0,250,8192
40,40,0.014272900007199496,18577.52290944433,70.0,250,8192
41,41,0.014318500005174428,18577.52290944433,72.0,250,8192
42,42,0.01434630001313053,18577.52290944433,73.0,250,8192
43,43,0.014393399993423373,18587.52290944433,75.0,250,8192
44,44,0.014420699997572228,18587.52290944433,76.0,250,8192
45,45,0.014478500001132488,18587.52290944433,78.0,250,8192
46,46,0.014528400002745911,18587.52290944433,80.0,250,8192
47,47,0.014558099996065721,18587.52290944433,81.0,250,8192
48,48,0.014608900004532188,18597.52290944433,83.0,250,8192
49,49,0.014656799990916625,21357.52290944433,85.0,250,8192
50,50,0.01469310000538826,21357.52290944433,86.0,250,8192
51,51,0.014740699989488348,21357.52290944433,88.0,250,8192
52,52,0.014789000008022413,21357.52290944433,90.0,250,8192
53,53,0.01482499999110587,21357.52290944433,91.0,250,8192
54,54,0.014879299997119233,21347.52290944433,93.0,250,8192
55,55,0.014910099998814985,21347.52290944433,94.0,250,8192
56,56,0.014940199995180592,21347.52290944433,95.0,250,8192
57,57,0.014971900003729388,21347.52290944433,96.0,250,8192
58,58,0.015003800013801083,21347.52290944433,97.0,250,8192
59,59,0.015034600015496835,21347.52290944433,98.0,250,8192
60,60,0.015082199999596924,21347.52290944433,100.0,250,8192
61,61,0.015112699999008328,21347.52290944433,101.0,250,8192
